### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,394,331,-174.438,0,255,0,0,100,1,1
1,401,573,174.204,0,255,0,0,100,1,1
2,463,352,-30.1478,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,411,123,1
1,244,50,1
2,334,519,1
3,436,220,1
4,512,239,1
5,449,544,1
6,393,349,0
7,235,281,1
8,427,265,1
9,580,27,1
10,178,94,1
11,269,490,1
12,287,508,1
13,580,242,1
14,549,338,1
15,466,110,1
16,368,171,1
17,141,50,1
18,76,518,1
19,319,111,1
20,531,155,1
21,122,84,1
22,108,154,1
23,271,27,1
24,558,247,1
25,103,420,1
26,325,262,1
27,274,277,1
28,34,293,1
29,514,374,1
30,369,46,1
31,88,110,1
32,562,485,1
33,133,409,1
34,465,453,1
35,385,542,1
36,385,487,1
37,159,183,1
38,388,199,1
39,120,571,1
40,517,510,1
41,344,61,1
42,398,100,1
43,70,369,1
44,220,127,1
45,243,227,1
46,219,76,1
47,467,232,1
48,580,212,1
49,195,71,1
50,99,520,1
51,73,467,1
52,303,150,1
53,581,125,1
54,418,326,1
55,291,241,1
56,201,236,1
57,440,283,1
58,374,455,1
59,466,206,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
