### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,125,360,141.475,0,255,0,0,100,1,1
1,467,242,-102.824,0,255,0,0,100,1,1
2,470,90,-107.706,0,255,0,0,100,1,1
3,77,138,-129.091,0,255,0,0,100,1,1
4,188,252,144.403,0,255,0,0,100,1,1
5,58,124,-75.7897,0,255,0,0,100,1,1
6,275,151,3.41271,0,255,0,0,100,1,1
7,369,214,23.2689,0,255,0,0,100,1,1
8,316,288,-18.9152,0,255,0,0,100,1,1
9,371,271,-23.5237,0,255,0,0,100,1,1
10,465,32,98.3136,0,255,0,0,100,1,1
11,345,191,83.9371,0,255,0,0,100,1,1
12,420,502,-72.5829,0,255,0,0,100,1,1
13,237,129,-171.252,0,255,0,0,100,1,1
14,479,372,173.365,0,255,0,0,100,1,1
15,280,251,14.4253,0,255,0,0,100,1,1
16,63,174,-161.338,0,255,0,0,100,1,1
17,412,462,-99.6032,0,255,0,0,100,1,1
18,197,394,80.0329,0,255,0,0,100,1,1
19,71,393,133.461,0,255,0,0,100,1,1
20,429,478,24.4152,0,255,0,0,100,1,1
21,155,530,-151.359,0,255,0,0,100,1,1
22,284,514,136.422,0,255,0,0,100,1,1
23,315,169,95.3929,0,255,0,0,100,1,1
24,360,12,-149.844,0,255,0,0,100,1,1
25,506,436,112.616,0,255,0,0,100,1,1
26,160,255,125.22,0,255,0,0,100,1,1
27,32,78,86.1481,0,255,0,0,100,1,1
28,272,138,-1.50716,0,255,0,0,100,1,1
29,158,14,151.333,0,255,0,0,100,1,1
30,290,15,161.642,0,255,0,0,100,1,1
31,17,194,-77.4926,0,255,0,0,100,1,1
32,77,455,-89.7868,0,255,0,0,100,1,1
33,570,450,-62.5305,0,255,0,0,100,1,1
34,361,363,110.417,0,255,0,0,100,1,1
35,365,249,-154.932,0,255,0,0,100,1,1
36,234,150,25.6284,0,255,0,0,100,1,1
37,315,487,6.33695,0,255,0,0,100,1,1
38,536,282,-110.425,0,255,0,0,100,1,1
39,239,405,145.695,0,255,0,0,100,1,1
40,365,39,-119.611,0,255,0,0,100,1,1
41,80,14,55.4703,0,255,0,0,100,1,1
42,386,398,-61.6169,0,255,0,0,100,1,1
43,36,344,104.066,0,255,0,0,100,1,1
44,519,166,50.2511,0,255,0,0,100,1,1
45,199,439,-10.2156,0,255,0,0,100,1,1
46,94,179,174.762,0,255,0,0,100,1,1
47,187,243,59.7999,0,255,0,0,100,1,1
48,197,483,-11.0392,0,255,0,0,100,1,1
49,307,455,-132.448,0,255,0,0,100,1,1
50,572,42,117.226,0,255,0,0,100,1,1
51,169,414,-167.139,0,255,0,0,100,1,1
52,56,486,156.704,0,255,0,0,100,1,1
53,196,228,74.4361,0,255,0,0,100,1,1
54,248,552,29.5218,0,255,0,0,100,1,1
55,401,523,53.6357,0,255,0,0,100,1,1
56,428,538,-37.0422,0,255,0,0,100,1,1
57,428,74,-72.5326,0,255,0,0,100,1,1
58,371,469,98.93,0,255,0,0,100,1,1
59,211,255,66.613,0,255,0,0,100,1,1
60,113,575,-8.04901,0,255,0,0,100,1,1
61,585,21,-1.55355,0,255,0,0,100,1,1
62,331,166,16.3386,0,255,0,0,100,1,1
63,110,438,158.674,0,255,0,0,100,1,1
64,308,69,81.8814,0,255,0,0,100,1,1
65,549,382,-108.961,0,255,0,0,100,1,1
66,187,67,-152.533,0,255,0,0,100,1,1
67,158,498,-103.193,0,255,0,0,100,1,1
68,329,72,-151.405,0,255,0,0,100,1,1
69,101,417,93.1803,0,255,0,0,100,1,1
70,149,132,19.855,0,255,0,0,100,1,1
71,480,509,-135.906,0,255,0,0,100,1,1
72,130,167,41.5156,0,255,0,0,100,1,1
73,529,393,139.673,0,255,0,0,100,1,1
74,47,502,-58.9053,0,255,0,0,100,1,1
75,359,167,131.049,0,255,0,0,100,1,1
76,69,524,92.4666,0,255,0,0,100,1,1
77,466,571,-63.261,0,255,0,0,100,1,1
78,25,51,-156.136,0,255,0,0,100,1,1
79,44,251,73.3328,0,255,0,0,100,1,1
80,362,123,72.3722,0,255,0,0,100,1,1
81,492,355,-160.812,0,255,0,0,100,1,1
82,55,533,-47.9614,0,255,0,0,100,1,1
83,271,23,-84.442,0,255,0,0,100,1,1
84,457,187,86.7013,0,255,0,0,100,1,1
85,238,15,-153.701,0,255,0,0,100,1,1
86,562,205,-131.932,0,255,0,0,100,1,1
87,456,128,112.405,0,255,0,0,100,1,1
88,342,556,-107.514,0,255,0,0,100,1,1
89,517,385,27.1211,0,255,0,0,100,1,1
90,138,439,-86.2834,0,255,0,0,100,1,1
91,192,512,-145.951,0,255,0,0,100,1,1
92,240,305,-88.3239,0,255,0,0,100,1,1
93,561,252,-25.5177,0,255,0,0,100,1,1
94,127,321,-151.033,0,255,0,0,100,1,1
95,19,521,74.8531,0,255,0,0,100,1,1
96,178,304,-8.03069,0,255,0,0,100,1,1
97,9,254,157.041,0,255,0,0,100,1,1
98,157,169,74.9316,0,255,0,0,100,1,1
99,263,187,90.6901,0,255,0,0,100,1,1
100,531,175,-6.07446,0,255,0,0,100,1,1
101,203,193,135.932,0,255,0,0,100,1,1
102,88,110,60.2758,0,255,0,0,100,1,1
103,469,527,72.6842,0,255,0,0,100,1,1
104,513,153,-29.3595,0,255,0,0,100,1,1
105,475,258,73.9873,0,255,0,0,100,1,1
106,263,268,118.975,0,255,0,0,100,1,1
107,216,343,76.64,0,255,0,0,100,1,1
108,337,358,28.2442,0,255,0,0,100,1,1
109,333,104,-4.93729,0,255,0,0,100,1,1
110,554,243,68.7104,0,255,0,0,100,1,1
111,271,207,-121.893,0,255,0,0,100,1,1
112,37,291,120.144,0,255,0,0,100,1,1
113,233,569,-66.1036,0,255,0,0,100,1,1
114,167,46,-49.211,0,255,0,0,100,1,1
115,249,147,-97.2203,0,255,0,0,100,1,1
116,425,434,-161.254,0,255,0,0,100,1,1
117,436,14,148.208,0,255,0,0,100,1,1
118,185,190,149.546,0,255,0,0,100,1,1
119,84,360,-3.18393,0,255,0,0,100,1,1
120,306,555,-124.373,0,255,0,0,100,1,1
121,292,135,-70.26,0,255,0,0,100,1,1
122,68,303,-76.3974,0,255,0,0,100,1,1
123,474,491,174.265,0,255,0,0,100,1,1
124,489,301,-9.86315,0,255,0,0,100,1,1
125,240,470,-178.44,0,255,0,0,100,1,1
126,155,22,-102.555,0,255,0,0,100,1,1
127,83,183,-93.2963,0,255,0,0,100,1,1
128,203,534,152.351,0,255,0,0,100,1,1
129,351,98,-110.534,0,255,0,0,100,1,1
130,37,521,-60.6918,0,255,0,0,100,1,1
131,234,117,158.579,0,255,0,0,100,1,1
132,354,358,142.155,0,255,0,0,100,1,1
133,304,367,115.076,0,255,0,0,100,1,1
134,41,228,-150.383,0,255,0,0,100,1,1
135,13,81,60.4483,0,255,0,0,100,1,1
136,515,92,122.681,0,255,0,0,100,1,1
137,569,307,86.3088,0,255,0,0,100,1,1
138,383,225,-168.878,0,255,0,0,100,1,1
139,528,231,106.015,0,255,0,0,100,1,1
140,241,511,104.553,0,255,0,0,100,1,1
141,182,326,-103.147,0,255,0,0,100,1,1
142,516,207,28.9469,0,255,0,0,100,1,1
143,273,13,-58.9444,0,255,0,0,100,1,1
144,25,128,-35.8555,0,255,0,0,100,1,1
145,203,121,-16.1041,0,255,0,0,100,1,1
146,34,205,103.973,0,255,0,0,100,1,1
147,445,59,-74.7236,0,255,0,0,100,1,1
148,350,66,153.321,0,255,0,0,100,1,1
149,516,280,-87.1726,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,229,80,1
1,147,403,1
2,171,401,1
3,382,239,1
4,356,327,1
5,389,128,1
6,282,175,1
7,297,501,1
8,534,153,1
9,436,71,0
10,45,574,1
11,32,121,1
12,493,528,1
13,542,49,1
14,475,70,1
15,314,249,1
16,25,339,1
17,206,206,1
18,107,142,1
19,540,344,1
20,401,337,1
21,524,295,1
22,564,83,1
23,443,375,1
24,61,304,0
25,408,186,1
26,422,375,1
27,100,561,1
28,41,222,0
29,50,468,1
30,88,30,1
31,463,464,1
32,400,39,1
33,291,202,1
34,439,132,1
35,147,50,1
36,482,463,1
37,215,575,1
38,258,408,1
39,239,527,1
40,124,203,1
41,518,577,1
42,167,448,1
43,333,231,1
44,571,107,1
45,426,496,0
46,354,538,1
47,502,109,1
48,215,309,1
49,436,44,1
50,46,184,1
51,58,144,1
52,157,331,1
53,258,70,1
54,499,271,1
55,563,396,1
56,288,396,1
57,59,436,1
58,280,327,1
59,349,366,0
60,284,477,1
61,190,58,1
62,416,576,1
63,473,303,1
64,142,161,1
65,535,211,1
66,404,485,1
67,176,347,1
68,203,27,1
69,116,410,1
70,366,425,1
71,385,214,1
72,78,556,1
73,542,531,1
74,523,257,1
75,564,45,1
76,222,25,1
77,535,241,0
78,299,374,0
79,318,80,1
80,566,158,1
81,103,485,1
82,95,194,1
83,514,523,1
84,317,21,1
85,455,111,1
86,91,225,1
87,288,128,1
88,498,387,1
89,428,356,1
90,266,540,1
91,459,515,1
92,223,451,1
93,529,466,1
94,393,289,1
95,113,536,1
96,532,500,1
97,484,416,1
98,418,292,1
99,120,555,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
