### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,697,396,-126.325,0,255,0,0,100,1,1
1,721,423,-174.729,0,255,0,0,100,1,1
2,601,175,87.1095,0,255,0,0,100,1,1
3,576,723,-161.634,0,255,0,0,100,1,1
4,1105,764,-115.968,0,255,0,0,100,1,1
5,448,602,-14.0896,0,255,0,0,100,1,1
6,1184,603,-88.4795,0,255,0,0,100,1,1
7,1066,643,2.53721,0,255,0,0,100,1,1
8,1091,214,-84.4542,0,255,0,0,100,1,1
9,309,320,146.871,0,255,0,0,100,1,1
10,1347,604,10.4212,0,255,0,0,100,1,1
11,362,222,147.342,0,255,0,0,100,1,1
12,1074,649,-58.7332,0,255,0,0,100,1,1
13,931,297,114.665,0,255,0,0,100,1,1
14,325,142,-162.359,0,255,0,0,100,1,1
15,686,673,41.3325,0,255,0,0,100,1,1
16,1208,508,-28.6382,0,255,0,0,100,1,1
17,659,329,161.244,0,255,0,0,100,1,1
18,507,161,47.0315,0,255,0,0,100,1,1
19,1043,729,-78.4925,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,438,197,1
1,313,342,1
2,409,490,1
3,105,741,1
4,111,486,1
5,1096,196,1
6,349,376,1
7,752,415,1
8,508,375,1
9,917,444,1
10,779,238,1
11,1211,120,1
12,400,741,1
13,1172,711,1
14,1295,334,1
15,207,239,1
16,183,387,1
17,704,667,1
18,1066,573,1
19,965,647,1
20,559,257,1
21,1063,695,1
22,834,682,1
23,167,594,1
24,658,464,1
25,409,464,1
26,1314,340,1
27,688,649,1
28,1126,114,1
29,832,566,1
30,623,133,1
31,1187,392,1
32,674,124,1
33,369,444,1
34,37,581,1
35,437,585,1
36,601,324,1
37,964,152,1
38,136,536,1
39,678,305,1
40,43,170,1
41,1257,749,1
42,572,40,1
43,320,631,1
44,922,220,1
45,31,549,1
46,716,235,1
47,1008,35,1
48,179,568,1
49,1197,247,1
50,1138,146,1
51,685,561,1
52,800,566,1
53,724,480,1
54,982,192,1
55,777,468,1
56,672,596,1
57,604,657,1
58,1078,621,1
59,358,554,1
60,333,612,1
61,465,703,1
62,193,334,1
63,979,629,1
64,1122,63,1
65,296,682,1
66,1241,544,1
67,146,766,1
68,1073,241,1
69,1355,338,1
70,984,305,1
71,669,402,1
72,150,628,1
73,611,103,1
74,148,126,1
75,584,289,1
76,95,218,1
77,613,633,1
78,610,594,1
79,851,765,1
80,565,772,1
81,520,273,1
82,915,691,1
83,400,683,1
84,1005,346,1
85,740,530,1
86,1243,352,1
87,717,121,1
88,261,485,1
89,89,407,1
90,475,664,1
91,1266,245,1
92,370,184,1
93,373,98,1
94,798,306,1
95,463,160,1
96,1125,211,1
97,1107,675,1
98,941,757,1
99,743,166,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
