### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,700,397,-38.9952,0,255,0,0,100,1,1
1,725,423,-14.3196,0,255,0,0,100,1,1
2,1355,507,-88.5069,0,255,0,0,100,1,1
3,18,201,-173.4,0,255,0,0,100,1,1
4,217,305,51.9737,0,255,0,0,100,1,1
5,1112,538,-152.541,0,255,0,0,100,1,1
6,981,390,-142.003,0,255,0,0,100,1,1
7,812,488,17.3379,0,255,0,0,100,1,1
8,1092,566,-74.4962,0,255,0,0,100,1,1
9,541,448,-138.441,0,255,0,0,100,1,1
10,832,179,115.706,0,255,0,0,100,1,1
11,469,401,92.0094,0,255,0,0,100,1,1
12,743,530,72.6483,0,255,0,0,100,1,1
13,603,106,127.788,0,255,0,0,100,1,1
14,1376,459,19.2313,0,255,0,0,100,1,1
15,473,609,46.9656,0,255,0,0,100,1,1
16,1376,287,-134.65,0,255,0,0,100,1,1
17,1180,741,-33.8228,0,255,0,0,100,1,1
18,1213,380,166.725,0,255,0,0,100,1,1
19,428,195,148.682,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,698,556,1
1,719,652,1
2,130,666,1
3,352,586,1
4,1213,63,1
5,966,471,1
6,402,304,1
7,305,313,1
8,69,97,1
9,328,461,1
10,1227,363,1
11,748,497,1
12,865,60,1
13,1115,390,1
14,615,82,1
15,829,762,1
16,374,668,1
17,144,467,1
18,1092,33,1
19,671,297,1
20,541,133,1
21,277,524,1
22,166,544,1
23,1279,534,1
24,429,491,1
25,1345,218,1
26,927,259,1
27,475,210,1
28,145,61,1
29,1048,706,1
30,650,384,1
31,540,518,1
32,1121,364,1
33,740,358,1
34,106,740,1
35,422,625,1
36,1328,202,1
37,1083,405,1
38,1302,597,1
39,483,33,1
40,964,46,1
41,47,673,1
42,1211,762,1
43,372,151,1
44,344,549,1
45,1240,745,1
46,169,131,1
47,883,402,1
48,679,125,1
49,1146,246,1
50,642,707,1
51,613,379,1
52,133,218,1
53,776,371,1
54,1269,499,1
55,309,561,1
56,484,355,1
57,934,47,1
58,70,410,1
59,1294,737,1
60,1256,659,1
61,563,62,1
62,745,437,1
63,875,160,1
64,44,550,1
65,1116,182,1
66,336,687,1
67,676,230,1
68,500,657,1
69,119,474,1
70,954,627,1
71,207,449,1
72,199,764,1
73,545,605,1
74,438,588,1
75,1050,175,1
76,1011,449,1
77,399,199,1
78,536,107,1
79,353,201,1
80,732,625,1
81,892,46,1
82,1108,511,1
83,1008,670,1
84,1258,408,1
85,32,448,1
86,747,393,1
87,167,308,1
88,666,572,1
89,538,378,1
90,825,122,1
91,495,578,1
92,917,600,1
93,775,320,1
94,366,635,1
95,463,370,1
96,833,731,1
97,1253,61,1
98,1135,434,1
99,215,560,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
