### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,700,398,-6.45219,0,255,0,0,100,1,1
1,725,423,-6.09952,0,255,0,0,100,1,1
2,335,248,6.47273,0,255,0,0,100,1,1
3,898,191,-165.116,0,255,0,0,100,1,1
4,254,45,60.3386,0,255,0,0,100,1,1
5,181,699,-40.2906,0,255,0,0,100,1,1
6,802,402,-157.544,0,255,0,0,100,1,1
7,548,372,-159.484,0,255,0,0,100,1,1
8,241,392,168.271,0,255,0,0,100,1,1
9,1036,43,139.974,0,255,0,0,100,1,1
10,990,648,126.797,0,255,0,0,100,1,1
11,364,551,19.3216,0,255,0,0,100,1,1
12,635,632,126.262,0,255,0,0,100,1,1
13,611,379,128.909,0,255,0,0,100,1,1
14,439,589,-47.365,0,255,0,0,100,1,1
15,1318,723,-70.7698,0,255,0,0,100,1,1
16,179,535,-147.292,0,255,0,0,100,1,1
17,1238,162,-172.181,0,255,0,0,100,1,1
18,1334,208,57.143,0,255,0,0,100,1,1
19,829,691,-25.6394,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,91,312,1
1,1338,637,1
2,51,177,1
3,937,516,1
4,749,664,1
5,352,115,1
6,1220,534,1
7,1284,439,1
8,394,370,1
9,894,600,1
10,903,439,1
11,1294,519,1
12,942,133,1
13,1180,630,1
14,1366,197,1
15,212,569,1
16,568,430,1
17,461,190,1
18,331,451,1
19,693,764,1
20,97,679,1
21,341,220,1
22,540,645,1
23,952,594,1
24,1036,374,1
25,417,38,1
26,807,508,1
27,1257,701,1
28,185,107,1
29,436,410,1
30,433,220,1
31,995,629,1
32,998,183,1
33,1323,419,1
34,270,684,1
35,942,663,1
36,631,353,1
37,995,359,1
38,777,282,1
39,625,519,1
40,231,206,1
41,530,115,1
42,820,630,1
43,550,715,1
44,418,311,1
45,1009,700,1
46,1328,48,1
47,952,442,1
48,1142,395,1
49,54,146,1
50,47,364,1
51,597,758,1
52,1182,698,1
53,813,231,1
54,270,77,1
55,250,254,1
56,1268,328,1
57,187,434,1
58,889,163,1
59,852,435,1
60,952,264,1
61,1034,500,1
62,916,321,1
63,898,26,1
64,260,711,1
65,704,276,1
66,231,147,1
67,84,96,1
68,1130,474,1
69,1148,217,1
70,905,572,1
71,1113,66,1
72,502,167,1
73,895,143,1
74,217,641,1
75,698,509,1
76,690,699,1
77,970,465,1
78,263,112,1
79,974,162,1
80,850,505,1
81,753,699,1
82,910,212,1
83,226,106,1
84,998,326,1
85,546,183,1
86,366,763,1
87,1154,313,1
88,589,468,1
89,474,550,1
90,827,250,1
91,441,58,1
92,831,464,1
93,1181,216,1
94,466,672,1
95,1206,71,1
96,297,167,1
97,1048,630,1
98,1132,177,1
99,1259,104,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
