### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,696,399,163.357,0,255,0,0,100,1,1
1,725,422,-27.8374,0,255,0,0,100,1,1
2,381,98,156.479,0,255,0,0,100,1,1
3,611,458,-171.989,0,255,0,0,100,1,1
4,1016,38,-24.0925,0,255,0,0,100,1,1
5,876,428,55.9306,0,255,0,0,100,1,1
6,928,312,-31.2618,0,255,0,0,100,1,1
7,420,595,91.5618,0,255,0,0,100,1,1
8,143,776,138.36,0,255,0,0,100,1,1
9,345,474,-49.5013,0,255,0,0,100,1,1
10,1051,154,105.457,0,255,0,0,100,1,1
11,113,552,87.5621,0,255,0,0,100,1,1
12,676,434,161.199,0,255,0,0,100,1,1
13,302,162,-120.073,0,255,0,0,100,1,1
14,1333,105,-12.0562,0,255,0,0,100,1,1
15,215,424,-35.1059,0,255,0,0,100,1,1
16,1252,23,-74.4023,0,255,0,0,100,1,1
17,580,564,104.562,0,255,0,0,100,1,1
18,352,328,-84.6236,0,255,0,0,100,1,1
19,58,492,88.7813,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,757,504,1
1,138,460,1
2,1101,772,1
3,906,615,1
4,1141,578,1
5,449,432,1
6,74,452,1
7,1335,45,1
8,347,277,1
9,119,468,1
10,357,716,1
11,555,438,1
12,984,553,1
13,279,736,1
14,420,508,1
15,485,485,1
16,1202,610,1
17,410,55,1
18,261,553,1
19,300,660,1
20,1209,148,1
21,266,124,1
22,206,137,1
23,1162,144,1
24,759,461,1
25,1032,550,1
26,901,322,1
27,393,517,1
28,531,199,1
29,364,161,1
30,1250,496,1
31,95,203,1
32,815,320,1
33,1156,481,1
34,496,641,1
35,608,263,1
36,185,429,1
37,587,441,1
38,762,722,1
39,1265,563,1
40,1271,360,1
41,1099,333,1
42,695,530,1
43,1041,193,1
44,759,121,1
45,981,339,1
46,774,657,1
47,493,755,1
48,1010,377,1
49,1253,40,1
50,511,240,1
51,1255,76,1
52,1134,56,1
53,1289,41,1
54,906,173,1
55,872,189,1
56,1076,324,1
57,558,134,1
58,1130,190,1
59,715,316,1
60,809,578,1
61,564,102,1
62,1176,517,1
63,915,530,1
64,682,767,1
65,794,728,1
66,73,548,1
67,63,527,1
68,256,236,1
69,684,141,1
70,948,77,1
71,66,312,1
72,1162,216,1
73,481,358,1
74,131,762,1
75,666,407,1
76,1030,428,1
77,229,499,1
78,95,646,1
79,273,199,1
80,822,251,1
81,338,581,1
82,863,44,1
83,359,118,1
84,466,478,1
85,265,633,1
86,80,263,1
87,441,205,1
88,434,249,1
89,515,379,1
90,615,205,1
91,782,465,1
92,1228,547,1
93,118,600,1
94,936,102,1
95,683,250,1
96,1234,723,1
97,1147,373,1
98,1254,655,1
99,167,694,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
