### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,700,397,-30.921,0,255,0,0,100,1,1
1,723,421,-76.4199,0,255,0,0,100,1,1
2,830,513,-40.2329,0,255,0,0,100,1,1
3,349,753,-48.1508,0,255,0,0,100,1,1
4,390,515,106.873,0,255,0,0,100,1,1
5,343,596,-87.1555,0,255,0,0,100,1,1
6,254,530,158.925,0,255,0,0,100,1,1
7,205,775,140.593,0,255,0,0,100,1,1
8,486,54,48.2653,0,255,0,0,100,1,1
9,151,382,147.512,0,255,0,0,100,1,1
10,722,368,-86.556,0,255,0,0,100,1,1
11,121,717,-71.5669,0,255,0,0,100,1,1
12,367,185,-85.5774,0,255,0,0,100,1,1
13,188,728,-104.142,0,255,0,0,100,1,1
14,1192,192,-109.058,0,255,0,0,100,1,1
15,593,396,-108.217,0,255,0,0,100,1,1
16,335,222,39.9,0,255,0,0,100,1,1
17,1233,261,32.944,0,255,0,0,100,1,1
18,180,208,109.835,0,255,0,0,100,1,1
19,722,314,-13.4283,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,176,455,1
1,1151,181,1
2,477,658,1
3,1145,736,1
4,1238,145,1
5,222,254,1
6,897,29,1
7,1199,747,1
8,876,618,1
9,1025,519,1
10,354,677,1
11,1179,432,1
12,257,612,1
13,332,351,1
14,547,741,1
15,608,231,1
16,395,27,1
17,1280,89,1
18,837,270,1
19,1014,761,1
20,427,29,1
21,1062,509,1
22,59,340,1
23,1131,262,1
24,863,201,1
25,209,123,1
26,817,703,1
27,1228,764,1
28,284,280,1
29,873,712,1
30,459,730,1
31,482,748,1
32,65,477,1
33,493,71,1
34,1138,603,1
35,1164,548,1
36,1235,436,1
37,835,42,1
38,1163,693,1
39,406,114,1
40,527,244,1
41,914,477,1
42,1346,378,1
43,813,160,1
44,565,194,1
45,992,315,1
46,1266,41,1
47,916,257,1
48,1372,680,1
49,492,238,1
50,1334,458,1
51,893,567,1
52,791,587,1
53,648,477,1
54,125,626,1
55,1303,770,1
56,781,194,1
57,97,76,1
58,77,709,1
59,1139,212,1
60,990,713,1
61,564,359,1
62,66,370,1
63,245,515,1
64,1109,371,1
65,775,157,1
66,71,35,1
67,1081,699,1
68,1121,524,1
69,1330,698,1
70,868,441,1
71,316,166,1
72,272,153,1
73,961,427,1
74,1177,668,1
75,943,247,1
76,1045,473,1
77,111,671,1
78,213,675,1
79,936,294,1
80,769,393,1
81,536,580,1
82,310,736,1
83,1061,256,1
84,606,590,1
85,770,233,1
86,332,382,1
87,1290,34,1
88,511,533,1
89,745,420,1
90,850,237,1
91,277,333,1
92,435,355,1
93,519,562,1
94,1227,317,1
95,824,656,1
96,529,185,1
97,432,760,1
98,981,743,1
99,1211,172,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
