### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,696,398,176.778,0,255,0,0,100,1,1
1,721,423,-172.335,0,255,0,0,100,1,1
2,358,587,163.409,0,255,0,0,100,1,1
3,1176,266,-77.9646,0,255,0,0,100,1,1
4,243,508,-27.807,0,255,0,0,100,1,1
5,606,54,160.721,0,255,0,0,100,1,1
6,1247,709,-48.6254,0,255,0,0,100,1,1
7,907,255,144.653,0,255,0,0,100,1,1
8,761,387,176.055,0,255,0,0,100,1,1
9,1041,577,67.96,0,255,0,0,100,1,1
10,520,268,94.5922,0,255,0,0,100,1,1
11,1095,592,18.6862,0,255,0,0,100,1,1
12,372,614,-113.595,0,255,0,0,100,1,1
13,1080,627,100.534,0,255,0,0,100,1,1
14,505,345,154.554,0,255,0,0,100,1,1
15,1107,720,-179.008,0,255,0,0,100,1,1
16,571,228,114.653,0,255,0,0,100,1,1
17,701,658,28.1023,0,255,0,0,100,1,1
18,410,114,-125.659,0,255,0,0,100,1,1
19,1035,18,164.484,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,412,597,1
1,1021,221,1
2,1214,617,1
3,381,288,1
4,1170,494,1
5,811,526,1
6,902,604,1
7,347,615,1
8,410,540,1
9,1275,484,1
10,1018,125,1
11,1311,617,1
12,512,755,1
13,1320,545,1
14,1259,671,1
15,766,678,1
16,351,711,1
17,1124,479,1
18,754,373,1
19,1059,500,1
20,870,295,1
21,727,586,1
22,1348,562,1
23,650,160,1
24,907,383,1
25,1304,250,1
26,780,107,1
27,1277,286,1
28,1190,287,1
29,840,431,1
30,429,258,1
31,382,768,1
32,186,324,1
33,105,771,1
34,737,687,1
35,870,186,1
36,1319,424,1
37,1304,117,1
38,119,347,1
39,785,304,1
40,1328,761,1
41,1047,563,1
42,1138,46,1
43,1212,53,1
44,408,355,1
45,892,333,1
46,966,146,1
47,1159,742,1
48,223,672,1
49,436,93,1
50,1165,706,1
51,571,633,1
52,1093,317,1
53,472,554,1
54,627,141,1
55,1119,246,1
56,243,493,1
57,478,735,1
58,190,561,1
59,344,85,1
60,62,669,1
61,81,166,1
62,808,47,1
63,254,412,1
64,424,747,1
65,974,391,1
66,1301,398,1
67,600,84,1
68,172,590,1
69,117,617,1
70,720,651,1
71,510,162,1
72,1239,123,1
73,809,713,1
74,622,774,1
75,1098,769,1
76,1242,485,1
77,781,586,1
78,767,460,1
79,607,177,1
80,37,713,1
81,994,525,1
82,320,154,1
83,656,467,1
84,851,171,1
85,702,636,1
86,447,714,1
87,280,102,1
88,1252,611,1
89,684,703,1
90,1135,382,1
91,949,165,1
92,1034,408,1
93,466,525,1
94,460,643,1
95,1193,344,1
96,833,340,1
97,65,464,1
98,862,226,1
99,716,736,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
