### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,698,400,85.0095,0,255,0,0,100,1,1
1,724,425,66.8651,0,255,0,0,100,1,1
2,740,265,129.382,0,255,0,0,100,1,1
3,998,138,43.8819,0,255,0,0,100,1,1
4,599,108,-48.4705,0,255,0,0,100,1,1
5,640,462,-134.075,0,255,0,0,100,1,1
6,60,590,73.9635,0,255,0,0,100,1,1
7,776,356,-39.8393,0,255,0,0,100,1,1
8,105,98,145.526,0,255,0,0,100,1,1
9,726,359,-91.3167,0,255,0,0,100,1,1
10,1231,740,-77.9256,0,255,0,0,100,1,1
11,639,540,-160.873,0,255,0,0,100,1,1
12,1202,156,-170.683,0,255,0,0,100,1,1
13,252,622,177.35,0,255,0,0,100,1,1
14,854,594,154.124,0,255,0,0,100,1,1
15,1340,374,122.002,0,255,0,0,100,1,1
16,149,385,123.208,0,255,0,0,100,1,1
17,191,641,-91.1085,0,255,0,0,100,1,1
18,221,51,75.6378,0,255,0,0,100,1,1
19,993,238,159.169,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,43,191,1
1,1252,101,1
2,596,140,1
3,788,326,1
4,423,216,1
5,241,630,1
6,560,27,1
7,1037,767,1
8,940,483,1
9,959,190,1
10,35,729,1
11,876,571,1
12,198,113,1
13,54,242,1
14,912,656,1
15,867,457,1
16,99,579,1
17,1044,455,1
18,1119,603,1
19,550,561,1
20,1252,630,1
21,541,61,1
22,400,187,1
23,497,239,1
24,1291,758,1
25,447,580,1
26,1135,297,1
27,1144,278,1
28,739,613,1
29,1202,447,1
30,142,30,1
31,1076,123,1
32,1253,227,1
33,207,161,1
34,450,263,1
35,351,235,1
36,75,684,1
37,182,511,1
38,232,649,1
39,1355,669,1
40,228,38,1
41,374,320,1
42,489,171,1
43,423,246,1
44,1285,311,1
45,463,301,1
46,344,112,1
47,698,264,1
48,1308,771,1
49,1270,42,1
50,1032,708,1
51,603,657,1
52,1235,760,1
53,446,520,1
54,420,354,1
55,282,346,1
56,883,671,1
57,357,71,1
58,421,555,1
59,1190,568,1
60,443,742,1
61,44,582,1
62,734,456,1
63,1341,269,1
64,655,287,1
65,1052,732,1
66,439,448,1
67,260,648,1
68,65,488,1
69,204,397,1
70,1182,160,1
71,828,394,1
72,796,761,1
73,833,478,1
74,669,712,1
75,397,146,1
76,1054,157,1
77,835,721,1
78,1201,620,1
79,653,227,1
80,1029,85,1
81,172,265,1
82,1208,770,1
83,1018,675,1
84,282,524,1
85,228,674,1
86,940,62,1
87,703,668,1
88,682,761,1
89,1099,551,1
90,949,617,1
91,455,672,1
92,883,542,1
93,1188,475,1
94,622,304,1
95,576,584,1
96,1011,253,1
97,514,542,1
98,1196,389,1
99,1283,412,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
