### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,700,398,-5.42802,0,255,0,0,100,1,1
1,722,421,-106.387,0,255,0,0,100,1,1
2,702,122,-67.6751,0,255,0,0,100,1,1
3,393,551,46.4936,0,255,0,0,100,1,1
4,1307,387,137.187,0,255,0,0,100,1,1
5,1007,775,-163.305,0,255,0,0,100,1,1
6,1095,372,78.2067,0,255,0,0,100,1,1
7,468,386,96.9237,0,255,0,0,100,1,1
8,925,175,103.52,0,255,0,0,100,1,1
9,1231,378,4.78701,0,255,0,0,100,1,1
10,377,90,0.880432,0,255,0,0,100,1,1
11,1273,180,-86.6211,0,255,0,0,100,1,1
12,538,419,-2.32781,0,255,0,0,100,1,1
13,116,407,132.632,0,255,0,0,100,1,1
14,1013,222,111.774,0,255,0,0,100,1,1
15,508,734,-115.403,0,255,0,0,100,1,1
16,410,287,-66.7706,0,255,0,0,100,1,1
17,842,305,-148.312,0,255,0,0,100,1,1
18,1351,309,127.38,0,255,0,0,100,1,1
19,1355,688,-148.251,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,973,52,1
1,243,232,1
2,683,165,1
3,1113,413,1
4,50,471,1
5,1247,705,1
6,37,377,1
7,146,561,1
8,715,123,1
9,664,409,1
10,908,139,1
11,501,563,1
12,661,53,1
13,771,682,1
14,210,554,1
15,160,175,1
16,710,174,1
17,1083,30,1
18,188,540,1
19,140,322,1
20,971,200,1
21,148,636,1
22,68,234,1
23,31,139,1
24,1177,436,1
25,610,256,1
26,1043,79,1
27,1302,227,1
28,349,603,1
29,941,529,1
30,587,684,1
31,1367,104,1
32,851,460,1
33,1022,635,1
34,714,284,1
35,1272,718,1
36,536,588,1
37,163,144,1
38,197,412,1
39,1175,244,1
40,891,666,1
41,768,176,1
42,477,760,1
43,301,728,1
44,642,196,1
45,786,312,1
46,697,44,1
47,296,348,1
48,1329,129,1
49,933,640,1
50,691,83,1
51,1368,196,1
52,1363,572,1
53,291,555,1
54,646,668,1
55,100,533,1
56,1118,263,1
57,1121,484,1
58,1172,278,1
59,431,448,1
60,363,119,1
61,536,251,1
62,1296,552,1
63,435,48,1
64,411,549,1
65,919,428,1
66,1229,677,1
67,269,261,1
68,1276,396,1
69,1205,381,1
70,556,291,1
71,623,200,1
72,180,456,1
73,624,470,1
74,133,53,1
75,51,272,1
76,578,380,1
77,1091,386,1
78,710,307,1
79,130,463,1
80,677,651,1
81,1068,176,1
82,326,637,1
83,958,683,1
84,929,400,1
85,1038,286,1
86,37,667,1
87,627,138,1
88,565,691,1
89,946,342,1
90,316,662,1
91,1004,317,1
92,235,715,1
93,642,163,1
94,1279,63,1
95,584,157,1
96,1110,354,1
97,1209,571,1
98,310,322,1
99,1046,493,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
