### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,697,400,108.026,0,255,0,0,100,1,1
1,721,424,141.048,0,255,0,0,100,1,1
2,288,595,-125.461,0,255,0,0,100,1,1
3,330,664,82.7742,0,255,0,0,100,1,1
4,26,730,165.107,0,255,0,0,100,1,1
5,575,468,91.707,0,255,0,0,100,1,1
6,746,540,121.027,0,255,0,0,100,1,1
7,272,591,-136.916,0,255,0,0,100,1,1
8,232,685,31.2642,0,255,0,0,100,1,1
9,769,289,-21.19,0,255,0,0,100,1,1
10,726,361,-59.4025,0,255,0,0,100,1,1
11,839,243,-51.8421,0,255,0,0,100,1,1
12,148,715,-106.026,0,255,0,0,100,1,1
13,634,295,11.7248,0,255,0,0,100,1,1
14,705,414,177.135,0,255,0,0,100,1,1
15,568,171,0.94187,0,255,0,0,100,1,1
16,870,407,-44.9293,0,255,0,0,100,1,1
17,901,134,-143.948,0,255,0,0,100,1,1
18,620,533,34.8367,0,255,0,0,100,1,1
19,78,777,-155.295,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,1362,334,1
1,1033,385,1
2,223,590,1
3,1129,206,1
4,1186,30,1
5,1171,207,1
6,1076,447,1
7,1273,294,1
8,479,504,1
9,1104,573,1
10,943,765,1
11,308,457,1
12,743,755,1
13,269,619,1
14,262,153,1
15,325,742,1
16,1313,361,1
17,1064,665,1
18,1134,627,1
19,1140,715,1
20,149,494,1
21,140,753,1
22,955,407,1
23,1019,168,1
24,202,368,1
25,265,519,1
26,1094,174,1
27,1057,456,1
28,1096,77,1
29,984,425,1
30,193,520,1
31,191,398,1
32,951,213,1
33,641,619,1
34,1292,436,1
35,311,403,1
36,1147,51,1
37,238,659,1
38,434,196,1
39,328,34,1
40,898,323,1
41,296,243,1
42,934,190,1
43,556,652,1
44,1132,530,1
45,690,747,1
46,1294,595,1
47,571,509,1
48,219,691,1
49,722,499,1
50,788,626,1
51,281,700,1
52,1223,479,1
53,1072,252,1
54,878,356,1
55,451,229,1
56,1122,679,1
57,987,445,1
58,935,333,1
59,442,656,1
60,574,200,1
61,1320,249,1
62,315,653,1
63,202,594,1
64,1229,593,1
65,716,342,1
66,573,244,1
67,969,639,1
68,1276,416,1
69,31,463,1
70,1370,512,1
71,1142,383,1
72,234,516,1
73,150,642,1
74,150,121,1
75,596,293,1
76,1022,728,1
77,458,370,1
78,781,540,1
79,945,295,1
80,654,186,1
81,576,81,1
82,353,420,1
83,914,292,1
84,569,758,1
85,1006,742,1
86,740,281,1
87,735,650,1
88,1346,317,1
89,153,343,1
90,360,512,1
91,858,281,1
92,394,331,1
93,1141,562,1
94,470,646,1
95,652,365,1
96,1295,633,1
97,373,140,1
98,717,147,1
99,273,392,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
