### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,698,396,-97.7183,0,255,0,0,100,1,1
1,724,421,-57.8341,0,255,0,0,100,1,1
2,120,689,108.017,0,255,0,0,100,1,1
3,370,382,-99.603,0,255,0,0,100,1,1
4,439,420,-7.35406,0,255,0,0,100,1,1
5,86,585,119.113,0,255,0,0,100,1,1
6,366,310,-147.735,0,255,0,0,100,1,1
7,861,626,110.705,0,255,0,0,100,1,1
8,822,568,50.1127,0,255,0,0,100,1,1
9,1222,329,-43.8425,0,255,0,0,100,1,1
10,1249,170,-71.2696,0,255,0,0,100,1,1
11,997,292,-56.8364,0,255,0,0,100,1,1
12,492,107,143.999,0,255,0,0,100,1,1
13,414,729,15.5634,0,255,0,0,100,1,1
14,1124,80,78.5177,0,255,0,0,100,1,1
15,1093,593,61.7005,0,255,0,0,100,1,1
16,123,137,-20.5191,0,255,0,0,100,1,1
17,660,137,174.816,0,255,0,0,100,1,1
18,126,713,135.716,0,255,0,0,100,1,1
19,465,352,-4.35053,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,474,67,1
1,36,741,1
2,1319,169,1
3,222,132,1
4,1253,164,0
5,710,254,1
6,361,409,1
7,926,634,1
8,1141,627,1
9,439,335,1
10,1117,416,1
11,1010,605,1
12,811,399,1
13,559,757,1
14,886,211,1
15,444,301,1
16,634,312,1
17,549,385,1
18,685,135,1
19,1207,186,1
20,390,740,1
21,1264,472,1
22,1030,687,1
23,677,432,1
24,544,650,1
25,576,407,1
26,337,671,1
27,1283,389,1
28,356,692,1
29,1172,276,1
30,1361,704,1
31,361,486,1
32,452,479,1
33,500,457,1
34,1234,227,1
35,227,248,1
36,688,656,1
37,403,534,1
38,231,79,1
39,138,686,1
40,152,524,1
41,337,99,1
42,1166,427,1
43,1299,729,1
44,872,500,1
45,847,134,1
46,871,164,1
47,1210,507,1
48,695,617,1
49,211,353,1
50,1365,327,1
51,797,108,1
52,416,711,1
53,168,433,1
54,460,285,1
55,37,668,1
56,1125,273,1
57,1242,380,1
58,1061,686,1
59,996,172,1
60,1350,399,1
61,654,764,1
62,196,595,1
63,1192,675,1
64,1232,464,1
65,409,344,1
66,889,371,1
67,260,305,1
68,38,438,1
69,117,572,1
70,562,113,1
71,63,769,1
72,710,474,1
73,620,439,1
74,1222,557,1
75,1144,166,1
76,624,338,1
77,881,711,1
78,716,449,1
79,371,512,1
80,116,372,1
81,1151,476,1
82,1171,393,1
83,1358,351,1
84,1147,216,1
85,1369,301,1
86,506,679,1
87,1184,34,1
88,302,762,1
89,594,36,1
90,1362,124,1
91,766,623,1
92,743,439,1
93,808,674,1
94,293,60,1
95,1148,719,1
96,241,759,1
97,855,369,1
98,798,518,1
99,891,678,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
