### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,700,397,-22.1486,0,255,0,0,100,1,1
1,724,425,57.0843,0,255,0,0,100,1,1
2,1220,437,0.605675,0,255,0,0,100,1,1
3,449,755,147.816,0,255,0,0,100,1,1
4,235,523,37.3967,0,255,0,0,100,1,1
5,585,729,102.228,0,255,0,0,100,1,1
6,1250,337,111.874,0,255,0,0,100,1,1
7,1276,738,-111.189,0,255,0,0,100,1,1
8,186,726,170.477,0,255,0,0,100,1,1
9,319,145,-60.8257,0,255,0,0,100,1,1
10,313,480,-51.1252,0,255,0,0,100,1,1
11,44,517,40.3346,0,255,0,0,100,1,1
12,681,592,-115.781,0,255,0,0,100,1,1
13,1152,510,-171.787,0,255,0,0,100,1,1
14,350,128,-91.0205,0,255,0,0,100,1,1
15,644,547,-169.924,0,255,0,0,100,1,1
16,155,270,-31.5449,0,255,0,0,100,1,1
17,327,319,-159.765,0,255,0,0,100,1,1
18,915,131,-94.5467,0,255,0,0,100,1,1
19,771,765,-47.9582,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,1125,304,1
1,1126,491,1
2,283,305,1
3,1148,688,1
4,372,549,1
5,95,748,1
6,67,291,1
7,290,579,1
8,488,592,1
9,689,212,1
10,249,276,1
11,372,329,1
12,1195,663,1
13,413,765,1
14,579,241,1
15,1068,255,1
16,518,590,1
17,982,332,1
18,126,211,1
19,962,127,1
20,742,492,1
21,429,684,1
22,208,661,1
23,1061,159,1
24,619,677,1
25,967,32,1
26,1242,251,1
27,707,503,1
28,1344,586,1
29,1282,630,1
30,137,595,1
31,748,391,1
32,999,585,1
33,114,440,1
34,1250,438,1
35,1041,543,1
36,298,398,1
37,1281,208,1
38,419,745,1
39,981,229,1
40,334,97,1
41,566,772,1
42,285,745,1
43,444,654,1
44,463,303,1
45,1311,396,1
46,1087,42,1
47,315,504,1
48,787,66,1
49,520,120,1
50,710,467,1
51,176,355,1
52,991,187,1
53,226,592,1
54,1284,107,1
55,192,210,1
56,670,44,1
57,72,194,1
58,745,196,1
59,953,59,1
60,718,240,1
61,542,264,1
62,132,763,1
63,867,379,1
64,1028,124,1
65,815,140,1
66,812,534,1
67,1061,479,1
68,588,220,1
69,28,71,1
70,719,35,1
71,183,395,1
72,1175,451,1
73,299,767,1
74,546,747,1
75,306,444,1
76,195,520,1
77,753,149,1
78,58,172,1
79,637,456,1
80,547,697,1
81,768,268,1
82,629,641,1
83,534,151,1
84,794,566,1
85,207,728,1
86,712,536,1
87,30,618,1
88,133,255,1
89,628,288,1
90,451,613,1
91,327,207,1
92,601,495,1
93,660,438,1
94,35,167,1
95,284,546,1
96,781,347,1
97,435,365,1
98,820,51,1
99,1364,24,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
