### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,697,399,137.295,0,255,0,0,100,1,1
1,721,423,169.517,0,255,0,0,100,1,1
2,558,413,139.965,0,255,0,0,100,1,1
3,144,92,-30.0529,0,255,0,0,100,1,1
4,476,119,50.5593,0,255,0,0,100,1,1
5,629,494,71.178,0,255,0,0,100,1,1
6,227,638,3.34555,0,255,0,0,100,1,1
7,1205,323,-108.768,0,255,0,0,100,1,1
8,111,381,-34.343,0,255,0,0,100,1,1
9,558,755,-138.007,0,255,0,0,100,1,1
10,981,68,72.1829,0,255,0,0,100,1,1
11,769,312,51.9933,0,255,0,0,100,1,1
12,1287,632,-13.3012,0,255,0,0,100,1,1
13,1281,357,-91.0471,0,255,0,0,100,1,1
14,983,554,-51.0461,0,255,0,0,100,1,1
15,1296,91,107.572,0,255,0,0,100,1,1
16,1341,303,-121.289,0,255,0,0,100,1,1
17,1177,372,-49.2659,0,255,0,0,100,1,1
18,1032,614,98.069,0,255,0,0,100,1,1
19,169,15,-32.749,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,623,134,1
1,1000,646,1
2,123,377,1
3,663,659,1
4,797,123,1
5,303,78,1
6,1218,131,1
7,951,440,1
8,934,420,1
9,973,395,1
10,537,192,1
11,479,757,1
12,165,251,1
13,1031,760,1
14,244,590,1
15,1360,332,1
16,1340,55,1
17,133,183,1
18,1266,418,1
19,734,305,1
20,257,84,1
21,559,540,1
22,1117,526,1
23,1239,748,1
24,1169,613,1
25,886,259,1
26,262,565,1
27,218,83,1
28,245,404,1
29,1045,64,1
30,1054,93,1
31,429,254,1
32,670,340,1
33,1350,394,1
34,855,729,1
35,1129,53,1
36,1025,486,1
37,1176,471,1
38,184,482,1
39,425,179,1
40,1236,198,1
41,138,625,1
42,492,308,1
43,1156,75,1
44,744,724,1
45,509,99,1
46,430,735,1
47,700,124,1
48,366,719,1
49,378,32,1
50,648,398,1
51,1070,689,1
52,235,328,1
53,468,299,1
54,1298,556,1
55,392,526,1
56,1335,773,1
57,1045,625,1
58,600,287,1
59,459,746,1
60,817,413,1
61,402,225,1
62,1169,690,1
63,431,653,1
64,976,484,1
65,691,674,1
66,779,27,1
67,1316,525,1
68,1077,100,1
69,633,577,1
70,706,463,1
71,778,720,1
72,875,763,1
73,659,70,1
74,1299,445,1
75,826,519,1
76,1109,218,1
77,1109,603,1
78,1164,321,1
79,574,478,1
80,1164,40,1
81,1064,542,1
82,477,669,1
83,1048,719,1
84,1303,414,1
85,351,616,1
86,253,291,1
87,209,417,1
88,313,316,1
89,220,570,1
90,1356,271,1
91,870,58,1
92,507,138,1
93,1306,340,1
94,691,322,1
95,178,743,1
96,950,163,1
97,985,297,1
98,497,570,1
99,890,210,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
