### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,698,396,-103.083,0,255,0,0,100,1,1
1,721,424,142.768,0,255,0,0,100,1,1
2,64,269,97.9162,0,255,0,0,100,1,1
3,1297,231,-6.03053,0,255,0,0,100,1,1
4,1019,391,-30.5568,0,255,0,0,100,1,1
5,335,250,61.4482,0,255,0,0,100,1,1
6,1103,169,23.8204,0,255,0,0,100,1,1
7,1037,146,21.1447,0,255,0,0,100,1,1
8,1334,206,-133.959,0,255,0,0,100,1,1
9,354,205,-70.5579,0,255,0,0,100,1,1
10,1267,155,159.044,0,255,0,0,100,1,1
11,962,98,138.174,0,255,0,0,100,1,1
12,1374,100,92.9744,0,255,0,0,100,1,1
13,377,688,171.344,0,255,0,0,100,1,1
14,134,180,-157.4,0,255,0,0,100,1,1
15,1316,779,57.5829,0,255,0,0,100,1,1
16,971,412,96.636,0,255,0,0,100,1,1
17,69,402,10.7928,0,255,0,0,100,1,1
18,295,335,107.968,0,255,0,0,100,1,1
19,749,377,121.239,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,302,655,1
1,35,554,1
2,764,678,1
3,360,291,1
4,132,675,1
5,599,496,1
6,658,615,1
7,66,333,1
8,228,312,1
9,495,771,1
10,116,653,1
11,887,594,1
12,216,610,1
13,242,576,1
14,707,421,1
15,1104,99,1
16,1046,225,1
17,500,705,1
18,112,299,1
19,45,79,1
20,1287,400,1
21,1047,753,1
22,177,470,1
23,684,692,1
24,678,165,1
25,1106,655,1
26,722,372,1
27,413,418,1
28,552,701,1
29,1198,245,1
30,1256,412,1
31,174,194,1
32,1014,107,1
33,33,636,1
34,906,331,1
35,1282,297,1
36,433,155,1
37,654,743,1
38,114,580,1
39,432,344,1
40,972,728,1
41,1359,247,1
42,805,107,1
43,675,547,1
44,348,225,1
45,218,578,1
46,712,262,1
47,1148,264,1
48,1066,647,1
49,223,668,1
50,147,763,1
51,1062,510,1
52,884,162,1
53,598,749,1
54,1367,281,1
55,607,363,1
56,733,661,1
57,30,117,1
58,98,73,1
59,1138,407,1
60,296,529,1
61,1261,514,1
62,493,542,1
63,1287,230,1
64,742,80,1
65,233,740,1
66,609,279,1
67,926,338,1
68,334,454,1
69,1102,274,1
70,360,717,1
71,823,424,1
72,1250,609,1
73,706,196,1
74,258,472,1
75,1081,442,1
76,936,184,1
77,1221,599,1
78,180,346,1
79,644,89,1
80,758,174,1
81,624,263,1
82,312,629,1
83,649,763,1
84,250,394,1
85,498,133,1
86,734,768,1
87,1336,24,1
88,564,657,1
89,620,413,1
90,951,406,1
91,221,232,1
92,165,575,1
93,586,625,1
94,663,570,1
95,331,581,1
96,1168,248,1
97,299,676,1
98,973,308,1
99,1057,343,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
