### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,700,399,16.7014,0,255,0,0,100,1,1
1,721,423,174.727,0,255,0,0,100,1,1
2,182,698,-37.3774,0,255,0,0,100,1,1
3,542,643,57.5655,0,255,0,0,100,1,1
4,1005,91,105.726,0,255,0,0,100,1,1
5,252,564,-57.3911,0,255,0,0,100,1,1
6,508,661,-119.353,0,255,0,0,100,1,1
7,38,197,49.5377,0,255,0,0,100,1,1
8,1279,706,176.435,0,255,0,0,100,1,1
9,697,407,12.7241,0,255,0,0,100,1,1
10,893,611,129.942,0,255,0,0,100,1,1
11,437,309,-32.5878,0,255,0,0,100,1,1
12,1360,117,-12.9565,0,255,0,0,100,1,1
13,1337,209,-27.7489,0,255,0,0,100,1,1
14,956,708,26.9474,0,255,0,0,100,1,1
15,1158,334,79.0478,0,255,0,0,100,1,1
16,424,121,91.9941,0,255,0,0,100,1,1
17,227,681,-22.8386,0,255,0,0,100,1,1
18,1367,629,43.9892,0,255,0,0,100,1,1
19,1183,519,-144.082,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,583,51,1
1,628,551,1
2,895,204,1
3,932,31,1
4,698,763,1
5,524,115,1
6,744,635,1
7,116,700,1
8,778,325,1
9,131,578,1
10,357,311,1
11,82,243,1
12,1323,599,1
13,909,301,1
14,149,741,1
15,225,252,1
16,695,483,1
17,151,462,1
18,178,632,1
19,997,478,1
20,62,316,1
21,277,677,1
22,856,736,1
23,317,530,1
24,937,335,1
25,114,147,1
26,876,509,1
27,170,101,1
28,962,757,1
29,612,466,1
30,1148,370,1
31,1210,673,1
32,670,618,1
33,844,178,1
34,740,578,1
35,369,532,1
36,332,747,1
37,832,747,1
38,543,303,1
39,779,699,1
40,446,750,1
41,157,84,1
42,1141,303,1
43,119,339,1
44,1287,488,1
45,608,611,1
46,1114,302,1
47,1179,617,1
48,691,124,1
49,721,63,1
50,1238,35,1
51,1348,193,1
52,1092,385,1
53,536,690,1
54,689,667,1
55,341,199,1
56,1243,375,1
57,678,769,1
58,222,363,1
59,564,184,1
60,907,325,1
61,326,382,1
62,986,234,1
63,919,475,1
64,405,353,1
65,53,182,1
66,28,475,1
67,1307,571,1
68,1059,500,1
69,1179,106,1
70,719,299,1
71,1177,243,1
72,1255,720,1
73,883,273,1
74,533,623,1
75,799,611,1
76,892,621,0
77,166,574,1
78,242,274,1
79,1044,40,1
80,419,506,1
81,761,649,1
82,515,742,1
83,1276,249,1
84,27,81,1
85,751,371,1
86,321,476,1
87,1294,304,1
88,984,703,1
89,159,200,1
90,129,199,1
91,315,674,1
92,863,123,1
93,1335,751,1
94,373,481,1
95,311,763,1
96,1211,370,1
97,1236,314,1
98,406,635,1
99,687,56,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
