### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,700,398,14.0757,0,255,0,0,100,1,1
1,724,424,48.2199,0,255,0,0,100,1,1
2,1107,178,78.2452,0,255,0,0,100,1,1
3,889,207,-140.754,0,255,0,0,100,1,1
4,668,495,-52.2837,0,255,0,0,100,1,1
5,24,509,-42.7443,0,255,0,0,100,1,1
6,1253,197,-150.221,0,255,0,0,100,1,1
7,580,116,-98.056,0,255,0,0,100,1,1
8,283,481,-72.4907,0,255,0,0,100,1,1
9,781,306,89.9558,0,255,0,0,100,1,1
10,1049,461,75.4986,0,255,0,0,100,1,1
11,1139,124,145.788,0,255,0,0,100,1,1
12,310,681,118.209,0,255,0,0,100,1,1
13,289,761,-75.865,0,255,0,0,100,1,1
14,516,409,-8.58173,0,255,0,0,100,1,1
15,733,203,-146.673,0,255,0,0,100,1,1
16,477,246,-73.8798,0,255,0,0,100,1,1
17,1254,564,126.373,0,255,0,0,100,1,1
18,132,451,-18.0782,0,255,0,0,100,1,1
19,709,474,14.6921,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,1185,544,1
1,48,27,1
2,1157,112,1
3,418,368,1
4,203,484,1
5,1207,152,1
6,184,387,1
7,165,474,1
8,1336,476,1
9,484,736,1
10,1077,576,1
11,424,101,1
12,1329,563,1
13,537,683,1
14,659,578,1
15,1106,367,1
16,1286,568,1
17,832,516,1
18,1228,376,1
19,1319,425,1
20,532,44,1
21,1241,128,1
22,569,361,1
23,1321,535,1
24,1343,647,1
25,88,427,1
26,269,123,1
27,1197,192,1
28,402,138,1
29,537,195,1
30,61,454,1
31,862,291,1
32,160,741,1
33,1020,433,1
34,121,590,1
35,107,754,1
36,222,170,1
37,217,720,1
38,670,384,1
39,111,224,1
40,754,524,1
41,1025,555,1
42,454,141,1
43,926,651,1
44,1176,39,1
45,107,279,1
46,1055,276,1
47,1042,162,1
48,1319,40,1
49,394,543,1
50,1068,727,1
51,1083,158,1
52,728,136,1
53,865,332,1
54,935,625,1
55,1324,357,1
56,873,186,1
57,1191,765,1
58,303,628,1
59,164,540,1
60,1027,393,1
61,993,330,1
62,1291,544,1
63,633,139,1
64,403,232,1
65,297,105,1
66,1361,582,1
67,389,213,1
68,1211,214,1
69,902,28,1
70,957,180,1
71,726,586,1
72,260,208,1
73,70,599,1
74,1250,619,1
75,851,389,1
76,476,412,1
77,338,410,1
78,124,690,1
79,444,636,1
80,1340,425,1
81,644,280,1
82,883,590,1
83,430,151,1
84,278,57,1
85,182,350,1
86,578,60,1
87,696,600,1
88,1228,354,1
89,1272,323,1
90,348,131,1
91,1364,407,1
92,918,118,1
93,1355,499,1
94,785,585,1
95,212,62,1
96,1118,609,1
97,899,510,1
98,1015,728,1
99,817,194,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
