### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,700,397,-19.5647,0,255,0,0,100,1,1
1,725,423,12.0956,0,255,0,0,100,1,1
2,838,774,99.2085,0,255,0,0,100,1,1
3,274,393,-151.719,0,255,0,0,100,1,1
4,866,666,3.28061,0,255,0,0,100,1,1
5,1049,559,-44.0686,0,255,0,0,100,1,1
6,1185,386,24.5613,0,255,0,0,100,1,1
7,999,757,25.4824,0,255,0,0,100,1,1
8,1340,726,-125.152,0,255,0,0,100,1,1
9,394,96,-69.3022,0,255,0,0,100,1,1
10,436,31,-121.406,0,255,0,0,100,1,1
11,747,301,147.072,0,255,0,0,100,1,1
12,1010,400,68.6966,0,255,0,0,100,1,1
13,638,661,148.664,0,255,0,0,100,1,1
14,636,672,161.283,0,255,0,0,100,1,1
15,491,624,140.729,0,255,0,0,100,1,1
16,1169,536,-19.6761,0,255,0,0,100,1,1
17,806,408,-133.805,0,255,0,0,100,1,1
18,199,411,-120.378,0,255,0,0,100,1,1
19,785,316,-84.6373,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,1108,481,1
1,1283,731,1
2,992,645,1
3,1284,444,1
4,1035,555,1
5,1153,466,1
6,461,509,1
7,340,664,1
8,707,767,1
9,1005,83,1
10,508,516,1
11,1055,243,1
12,275,458,1
13,232,45,1
14,692,207,1
15,1304,310,1
16,1240,610,1
17,1137,735,1
18,885,617,1
19,495,188,1
20,465,201,1
21,688,134,1
22,778,661,1
23,1250,45,1
24,1290,336,1
25,752,598,1
26,399,716,1
27,958,643,1
28,87,393,1
29,164,251,1
30,389,230,1
31,120,603,1
32,967,472,1
33,482,261,1
34,1353,761,1
35,531,250,1
36,115,388,1
37,385,558,1
38,336,210,1
39,1239,396,1
40,956,99,1
41,939,316,1
42,1169,731,1
43,202,405,1
44,1006,356,1
45,159,166,1
46,1262,301,1
47,110,273,1
48,762,108,1
49,1169,759,1
50,1364,291,1
51,705,671,1
52,203,310,1
53,864,163,1
54,1096,617,1
55,567,233,1
56,155,205,1
57,735,557,1
58,671,358,1
59,647,122,1
60,1223,259,1
61,968,318,1
62,803,276,1
63,632,211,1
64,741,153,1
65,672,305,1
66,1312,560,1
67,209,162,1
68,124,680,1
69,448,668,1
70,1218,109,1
71,119,497,1
72,681,612,1
73,673,259,1
74,1136,620,1
75,628,407,1
76,939,47,1
77,289,29,1
78,1293,146,1
79,1117,66,1
80,395,471,1
81,874,274,1
82,1278,470,1
83,175,40,1
84,1368,84,1
85,1023,219,1
86,486,619,0
87,1190,309,1
88,629,166,1
89,1102,665,1
90,814,327,1
91,482,432,1
92,525,604,1
93,907,645,1
94,701,56,1
95,422,348,1
96,564,281,1
97,926,411,1
98,831,768,1
99,626,760,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
