### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,697,400,110.729,0,255,0,0,100,1,1
1,722,425,125.359,0,255,0,0,100,1,1
2,250,211,-38.6607,0,255,0,0,100,1,1
3,1253,521,83.5601,0,255,0,0,100,1,1
4,643,355,-72.2961,0,255,0,0,100,1,1
5,990,675,-33.3431,0,255,0,0,100,1,1
6,1263,86,81.5107,0,255,0,0,100,1,1
7,116,718,23.6413,0,255,0,0,100,1,1
8,1029,329,-29.1277,0,255,0,0,100,1,1
9,965,68,-64.3467,0,255,0,0,100,1,1
10,500,425,-29.1821,0,255,0,0,100,1,1
11,1310,136,2.58771,0,255,0,0,100,1,1
12,735,548,-37.2773,0,255,0,0,100,1,1
13,336,327,-73.2133,0,255,0,0,100,1,1
14,705,772,141.261,0,255,0,0,100,1,1
15,190,688,-107.323,0,255,0,0,100,1,1
16,436,511,-114.237,0,255,0,0,100,1,1
17,1046,428,14.113,0,255,0,0,100,1,1
18,517,745,-43.9846,0,255,0,0,100,1,1
19,873,629,162.403,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,154,664,1
1,932,100,1
2,429,213,1
3,910,684,1
4,348,308,1
5,1316,301,1
6,1065,644,1
7,977,491,1
8,921,636,1
9,1184,501,1
10,1090,670,1
11,942,122,1
12,81,226,1
13,1033,74,1
14,272,527,1
15,1229,152,1
16,472,255,1
17,989,44,1
18,1028,418,1
19,674,320,1
20,1314,498,1
21,252,597,1
22,1191,92,1
23,807,610,1
24,330,541,1
25,973,607,1
26,374,688,1
27,672,533,1
28,1334,211,1
29,326,629,1
30,853,34,1
31,538,419,1
32,501,574,1
33,1332,478,1
34,113,129,1
35,743,175,1
36,867,585,1
37,330,478,1
38,968,117,1
39,671,707,1
40,1364,161,1
41,538,722,1
42,361,184,1
43,40,402,1
44,1127,386,1
45,922,522,1
46,1225,335,1
47,949,517,1
48,429,763,1
49,1262,312,1
50,1119,203,1
51,1046,169,1
52,1080,85,1
53,480,537,1
54,71,754,1
55,113,747,1
56,815,742,1
57,796,760,1
58,1154,704,1
59,567,394,1
60,62,366,1
61,479,514,1
62,645,636,1
63,310,534,1
64,807,326,1
65,1338,507,1
66,432,560,1
67,252,184,1
68,948,73,1
69,832,344,1
70,1175,765,1
71,1158,558,1
72,1292,678,1
73,1298,183,1
74,974,513,1
75,267,760,1
76,987,171,1
77,526,240,1
78,137,205,1
79,788,28,1
80,1052,616,1
81,687,388,1
82,376,770,1
83,128,469,1
84,393,46,1
85,141,417,1
86,47,78,1
87,39,665,1
88,217,180,1
89,637,683,1
90,444,427,1
91,92,377,1
92,373,205,1
93,524,760,1
94,161,193,1
95,983,436,1
96,447,588,1
97,346,738,1
98,702,603,1
99,1215,593,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
