### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,698,400,104.174,0,255,0,0,100,1,1
1,724,421,-68.1043,0,255,0,0,100,1,1
2,270,115,109.122,0,255,0,0,100,1,1
3,1087,516,50.7285,0,255,0,0,100,1,1
4,382,378,-172.141,0,255,0,0,100,1,1
5,452,410,-168.313,0,255,0,0,100,1,1
6,1282,560,-37.1997,0,255,0,0,100,1,1
7,67,236,111.463,0,255,0,0,100,1,1
8,677,95,-34.9194,0,255,0,0,100,1,1
9,1245,475,112.66,0,255,0,0,100,1,1
10,1086,738,-101.808,0,255,0,0,100,1,1
11,256,330,9.33298,0,255,0,0,100,1,1
12,1190,262,-19.0773,0,255,0,0,100,1,1
13,1067,255,-87.4558,0,255,0,0,100,1,1
14,1047,543,-13.407,0,255,0,0,100,1,1
15,1187,213,-60.3295,0,255,0,0,100,1,1
16,844,738,-147.236,0,255,0,0,100,1,1
17,464,40,-16.5402,0,255,0,0,100,1,1
18,926,280,-87.3435,0,255,0,0,100,1,1
19,551,514,-7.19853,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,726,343,1
1,97,338,1
2,484,398,1
3,1048,501,1
4,967,305,1
5,257,671,1
6,225,112,1
7,613,63,1
8,387,614,1
9,1234,244,1
10,312,746,1
11,635,204,1
12,194,633,1
13,946,607,1
14,1197,233,1
15,75,204,1
16,545,196,1
17,1117,455,1
18,249,255,1
19,832,394,1
20,892,362,1
21,475,498,1
22,318,465,1
23,543,582,1
24,1182,662,1
25,978,699,1
26,1004,252,1
27,75,463,1
28,1130,627,1
29,162,456,1
30,119,722,1
31,582,222,1
32,687,535,1
33,1212,562,1
34,1306,689,1
35,42,463,1
36,1211,468,1
37,802,497,1
38,221,520,1
39,119,437,1
40,284,516,1
41,1239,76,1
42,1216,182,1
43,185,516,1
44,998,765,1
45,533,412,1
46,305,525,1
47,1353,33,1
48,652,563,1
49,184,69,1
50,918,645,1
51,737,499,1
52,185,158,1
53,102,299,1
54,1251,534,1
55,899,44,1
56,633,428,1
57,593,661,1
58,601,409,1
59,460,180,1
60,773,257,1
61,1353,180,1
62,29,241,1
63,95,483,1
64,302,48,1
65,565,114,1
66,780,515,1
67,1103,304,1
68,100,370,1
69,392,170,1
70,571,588,1
71,262,698,1
72,593,130,1
73,610,306,1
74,1014,278,1
75,353,291,1
76,518,383,1
77,403,509,1
78,1033,465,1
79,1044,364,1
80,504,548,1
81,1068,182,1
82,275,37,1
83,1108,362,1
84,315,567,1
85,455,765,1
86,1115,529,1
87,1062,138,1
88,657,671,1
89,934,545,1
90,523,472,1
91,958,524,1
92,903,214,1
93,1230,422,1
94,97,756,1
95,97,529,1
96,43,661,1
97,802,329,1
98,126,301,1
99,1315,773,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
