### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,699,397,-41.8851,0,255,0,0,100,1,1
1,722,424,132.033,0,255,0,0,100,1,1
2,78,595,165.332,0,255,0,0,100,1,1
3,599,502,-44.2333,0,255,0,0,100,1,1
4,751,227,-82.7437,0,255,0,0,100,1,1
5,925,33,123.769,0,255,0,0,100,1,1
6,45,528,63.4474,0,255,0,0,100,1,1
7,291,65,-16.4818,0,255,0,0,100,1,1
8,1213,198,24.9765,0,255,0,0,100,1,1
9,971,70,85.6081,0,255,0,0,100,1,1
10,924,644,-6.08561,0,255,0,0,100,1,1
11,379,464,161.034,0,255,0,0,100,1,1
12,608,313,39.1302,0,255,0,0,100,1,1
13,99,648,-3.47594,0,255,0,0,100,1,1
14,1363,251,-34.288,0,255,0,0,100,1,1
15,1054,316,-58.4271,0,255,0,0,100,1,1
16,1013,152,157.201,0,255,0,0,100,1,1
17,883,322,-152.493,0,255,0,0,100,1,1
18,818,148,118.014,0,255,0,0,100,1,1
19,936,691,160.874,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,97,332,1
1,98,237,1
2,1219,555,1
3,1214,647,1
4,704,63,1
5,485,489,1
6,487,529,1
7,600,387,1
8,86,727,1
9,161,132,1
10,1047,110,1
11,662,53,1
12,728,63,1
13,222,588,1
14,879,151,1
15,374,29,1
16,637,624,1
17,341,513,1
18,439,358,1
19,98,259,1
20,1309,527,1
21,169,296,1
22,1109,425,1
23,1248,637,1
24,807,186,1
25,195,166,1
26,210,44,1
27,1353,390,1
28,569,416,1
29,275,601,1
30,280,345,1
31,675,414,1
32,145,144,1
33,974,616,1
34,53,495,1
35,918,739,1
36,1017,484,1
37,846,457,1
38,1338,649,1
39,810,229,1
40,349,612,1
41,51,615,1
42,1120,680,1
43,676,176,1
44,1209,239,1
45,770,742,1
46,406,122,1
47,1037,41,1
48,805,438,1
49,163,549,1
50,1052,344,1
51,1288,352,1
52,886,449,1
53,1145,329,1
54,220,153,1
55,1290,669,1
56,641,253,1
57,1346,340,1
58,711,396,1
59,777,268,1
60,1048,585,1
61,972,486,1
62,874,73,1
63,1339,756,1
64,1195,107,1
65,1225,579,1
66,196,528,1
67,902,93,1
68,833,71,1
69,618,194,1
70,1341,289,1
71,622,714,1
72,236,204,1
73,791,741,1
74,499,606,1
75,244,177,1
76,853,369,1
77,1329,564,1
78,161,107,1
79,164,596,1
80,251,413,1
81,1364,199,1
82,309,596,1
83,1077,505,1
84,89,521,1
85,675,71,1
86,895,409,1
87,463,111,1
88,141,42,1
89,236,263,1
90,946,76,1
91,1004,55,1
92,48,324,1
93,585,26,1
94,686,720,1
95,1175,59,1
96,1157,114,1
97,190,482,1
98,506,333,1
99,830,105,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
