### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,697,400,114.034,0,255,0,0,100,1,1
1,723,421,-87.0359,0,255,0,0,100,1,1
2,427,394,29.8508,0,255,0,0,100,1,1
3,25,437,51.0843,0,255,0,0,100,1,1
4,1330,693,-90.2539,0,255,0,0,100,1,1
5,1224,605,4.61307,0,255,0,0,100,1,1
6,1157,260,116.742,0,255,0,0,100,1,1
7,1144,390,-15.4806,0,255,0,0,100,1,1
8,1090,535,151.114,0,255,0,0,100,1,1
9,252,490,55.1602,0,255,0,0,100,1,1
10,808,702,-157.115,0,255,0,0,100,1,1
11,1167,505,18.0508,0,255,0,0,100,1,1
12,952,217,-64.2252,0,255,0,0,100,1,1
13,1135,80,-173.418,0,255,0,0,100,1,1
14,1350,465,22.9885,0,255,0,0,100,1,1
15,1209,285,53.4838,0,255,0,0,100,1,1
16,593,563,-5.34308,0,255,0,0,100,1,1
17,767,357,117.769,0,255,0,0,100,1,1
18,524,662,-89.5726,0,255,0,0,100,1,1
19,1067,364,-17.1659,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,875,593,1
1,798,639,1
2,502,125,1
3,1285,443,1
4,278,35,1
5,482,768,1
6,428,199,1
7,724,316,1
8,344,325,1
9,560,268,1
10,1183,355,1
11,1095,208,1
12,1063,265,1
13,1360,462,0
14,711,81,1
15,282,380,1
16,607,296,1
17,736,725,1
18,1340,196,1
19,717,54,1
20,879,178,1
21,1273,606,1
22,649,172,1
23,828,302,1
24,365,565,1
25,583,465,1
26,250,418,1
27,951,358,1
28,228,407,1
29,481,216,1
30,540,165,1
31,1031,578,1
32,678,477,1
33,934,643,1
34,737,491,1
35,613,583,1
36,403,413,1
37,1342,625,1
38,589,550,1
39,809,496,1
40,177,756,1
41,84,538,1
42,1323,66,1
43,151,730,1
44,591,405,1
45,750,406,1
46,213,188,1
47,994,693,1
48,211,107,1
49,1205,267,1
50,594,104,1
51,943,148,1
52,704,33,1
53,931,562,1
54,727,541,1
55,158,677,1
56,1195,504,1
57,359,687,1
58,960,504,1
59,266,612,1
60,123,486,1
61,1272,374,1
62,1010,748,1
63,1183,49,1
64,661,336,1
65,322,186,1
66,152,125,1
67,526,323,1
68,982,140,1
69,96,117,1
70,960,718,1
71,310,149,1
72,1173,298,1
73,346,591,1
74,702,393,0
75,388,600,1
76,968,226,1
77,1199,554,1
78,327,128,1
79,50,81,1
80,702,108,1
81,1187,580,1
82,1046,456,1
83,539,658,1
84,574,513,1
85,78,184,1
86,1054,584,1
87,843,199,1
88,1087,68,1
89,518,242,1
90,324,705,1
91,1270,719,1
92,1044,554,1
93,571,666,1
94,285,754,1
95,28,250,1
96,1335,757,1
97,306,130,1
98,263,169,1
99,1150,598,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
