### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,700,399,34.5244,0,255,0,0,100,1,1
1,721,423,174.142,0,255,0,0,100,1,1
2,1074,424,153.902,0,255,0,0,100,1,1
3,377,504,-2.087,0,255,0,0,100,1,1
4,1285,572,-35.962,0,255,0,0,100,1,1
5,119,616,-143.198,0,255,0,0,100,1,1
6,57,41,-33.4375,0,255,0,0,100,1,1
7,1299,189,29.8451,0,255,0,0,100,1,1
8,901,304,-80.8342,0,255,0,0,100,1,1
9,983,164,94.3391,0,255,0,0,100,1,1
10,958,744,-151.352,0,255,0,0,100,1,1
11,971,539,-35.5332,0,255,0,0,100,1,1
12,397,448,27.5715,0,255,0,0,100,1,1
13,1374,426,-152.841,0,255,0,0,100,1,1
14,411,200,2.29917,0,255,0,0,100,1,1
15,573,377,13.3575,0,255,0,0,100,1,1
16,70,108,79.3297,0,255,0,0,100,1,1
17,816,275,23.9821,0,255,0,0,100,1,1
18,1081,353,-78.0668,0,255,0,0,100,1,1
19,767,409,-155.512,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,546,386,1
1,378,240,1
2,82,676,1
3,506,299,1
4,163,134,1
5,388,213,1
6,893,429,1
7,1221,85,1
8,117,276,1
9,316,228,1
10,1018,107,1
11,912,52,1
12,92,346,1
13,174,77,1
14,342,535,1
15,693,616,1
16,427,749,1
17,911,222,1
18,1088,675,1
19,1166,370,1
20,44,239,1
21,1228,224,1
22,717,467,1
23,142,45,1
24,1281,698,1
25,304,368,1
26,276,649,1
27,813,262,1
28,1148,329,1
29,150,696,1
30,967,396,1
31,804,303,1
32,179,187,1
33,630,115,1
34,347,133,1
35,36,635,1
36,480,112,1
37,1037,330,1
38,720,364,1
39,175,279,1
40,1356,683,1
41,242,409,1
42,714,640,1
43,534,251,1
44,1283,132,1
45,1211,179,1
46,465,93,1
47,1184,654,1
48,1298,259,1
49,814,512,1
50,509,233,1
51,208,88,1
52,104,76,1
53,202,305,1
54,345,645,1
55,787,540,1
56,328,560,1
57,420,526,1
58,376,646,1
59,878,545,1
60,1021,613,1
61,1001,69,1
62,569,569,1
63,292,586,1
64,360,88,1
65,1133,267,1
66,1136,57,1
67,622,544,1
68,1211,258,1
69,654,760,1
70,266,497,1
71,524,410,1
72,683,346,1
73,565,278,1
74,823,689,1
75,1207,57,1
76,182,411,1
77,642,426,1
78,252,707,1
79,730,338,1
80,97,661,1
81,172,329,1
82,808,438,1
83,385,108,1
84,689,89,1
85,400,422,1
86,939,66,1
87,614,291,1
88,341,316,1
89,150,246,1
90,766,626,1
91,641,23,1
92,302,153,1
93,1296,312,1
94,631,737,1
95,521,44,1
96,1144,683,1
97,1147,221,1
98,1133,168,1
99,1113,52,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
