### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,699,396,-57.2165,0,255,0,0,100,1,1
1,724,421,-69.1456,0,255,0,0,100,1,1
2,281,594,68.2391,0,255,0,0,100,1,1
3,660,63,-5.93301,0,255,0,0,100,1,1
4,513,106,36.4483,0,255,0,0,100,1,1
5,241,630,5.60883,0,255,0,0,100,1,1
6,1137,677,15.8935,0,255,0,0,100,1,1
7,603,138,14.8891,0,255,0,0,100,1,1
8,1011,699,22.7421,0,255,0,0,100,1,1
9,779,627,29.8684,0,255,0,0,100,1,1
10,1064,398,-52.0431,0,255,0,0,100,1,1
11,1116,121,107.064,0,255,0,0,100,1,1
12,929,718,141.606,0,255,0,0,100,1,1
13,83,298,-78.046,0,255,0,0,100,1,1
14,154,681,138.884,0,255,0,0,100,1,1
15,1047,662,118.775,0,255,0,0,100,1,1
16,1064,775,17.9293,0,255,0,0,100,1,1
17,572,112,60.3293,0,255,0,0,100,1,1
18,470,683,-57.2789,0,255,0,0,100,1,1
19,803,453,51.3403,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,423,229,1
1,1009,30,1
2,953,198,1
3,42,54,1
4,1181,463,1
5,441,496,1
6,148,507,1
7,279,219,1
8,374,272,1
9,493,485,1
10,320,66,1
11,1329,73,1
12,701,75,1
13,785,507,1
14,315,266,1
15,731,308,1
16,695,627,1
17,778,50,1
18,1132,171,1
19,1250,425,1
20,1321,560,1
21,447,650,1
22,784,478,1
23,1170,563,1
24,1277,320,1
25,136,213,1
26,421,135,1
27,1314,325,1
28,996,197,1
29,81,133,1
30,659,714,1
31,1333,647,1
32,43,697,1
33,345,47,1
34,1362,286,1
35,372,61,1
36,713,767,1
37,340,119,1
38,489,173,1
39,995,765,1
40,915,268,1
41,1227,590,1
42,1111,183,1
43,283,241,1
44,843,97,1
45,970,51,1
46,511,390,1
47,433,565,1
48,1035,652,1
49,692,729,1
50,764,138,1
51,122,707,1
52,302,603,1
53,1285,566,1
54,1285,508,1
55,729,374,1
56,568,373,1
57,815,481,1
58,687,686,1
59,930,81,1
60,272,538,1
61,406,552,1
62,1168,25,1
63,481,690,1
64,298,569,1
65,372,598,1
66,1208,497,1
67,382,166,1
68,451,602,1
69,649,69,1
70,363,508,1
71,193,769,1
72,811,730,1
73,620,513,1
74,645,643,1
75,652,35,1
76,674,261,1
77,180,701,1
78,606,314,1
79,606,645,1
80,452,161,1
81,1351,737,1
82,969,521,1
83,229,361,1
84,656,215,1
85,433,199,1
86,943,462,1
87,820,504,1
88,1119,305,1
89,156,142,1
90,1085,569,1
91,603,30,1
92,1029,741,1
93,1273,644,1
94,338,172,1
95,695,446,1
96,1149,141,1
97,859,608,1
98,1150,414,1
99,862,564,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
