### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,699,396,-62.1024,0,255,0,0,100,1,1
1,723,421,-84.0704,0,255,0,0,100,1,1
2,964,487,122.598,0,255,0,0,100,1,1
3,832,647,-38.5331,0,255,0,0,100,1,1
4,479,182,126.974,0,255,0,0,100,1,1
5,687,558,-119.953,0,255,0,0,100,1,1
6,1250,355,-20.0454,0,255,0,0,100,1,1
7,1292,133,144.338,0,255,0,0,100,1,1
8,566,161,114.85,0,255,0,0,100,1,1
9,961,441,-17.381,0,255,0,0,100,1,1
10,1039,501,-46.434,0,255,0,0,100,1,1
11,516,288,-70.2226,0,255,0,0,100,1,1
12,114,97,-54.3686,0,255,0,0,100,1,1
13,77,316,52.0066,0,255,0,0,100,1,1
14,1181,530,156.427,0,255,0,0,100,1,1
15,765,244,-70.4641,0,255,0,0,100,1,1
16,353,203,-100.124,0,255,0,0,100,1,1
17,843,588,151.747,0,255,0,0,100,1,1
18,305,462,101.302,0,255,0,0,100,1,1
19,1188,396,-54.8563,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,705,660,1
1,372,563,1
2,1088,678,1
3,912,656,1
4,356,767,1
5,432,689,1
6,902,475,1
7,619,408,1
8,300,214,1
9,1341,532,1
10,166,533,1
11,853,487,1
12,1316,316,1
13,670,430,1
14,1309,767,1
15,541,146,1
16,1263,530,1
17,517,256,1
18,142,759,1
19,437,177,1
20,476,235,1
21,1007,369,1
22,1204,143,1
23,466,593,1
24,1022,698,1
25,879,154,1
26,878,714,1
27,1233,609,1
28,709,501,1
29,1275,439,1
30,959,726,1
31,1254,171,1
32,85,85,1
33,797,611,1
34,1035,643,1
35,1354,145,1
36,114,345,1
37,1109,372,1
38,520,685,1
39,1337,344,1
40,908,233,1
41,993,64,1
42,650,607,1
43,777,512,1
44,321,467,1
45,663,156,1
46,315,167,1
47,230,69,1
48,515,427,1
49,359,644,1
50,804,248,1
51,211,668,1
52,818,586,1
53,820,651,1
54,477,54,1
55,1348,646,1
56,200,484,1
57,1230,279,1
58,1340,318,1
59,457,470,1
60,1164,756,1
61,974,165,1
62,243,314,1
63,584,69,1
64,544,299,1
65,188,410,1
66,268,710,1
67,553,174,1
68,1326,57,1
69,976,99,1
70,922,734,1
71,502,366,1
72,1035,578,1
73,502,531,1
74,1238,380,1
75,897,672,1
76,1150,459,1
77,707,48,1
78,714,177,1
79,1118,529,1
80,298,718,1
81,503,294,1
82,1094,72,1
83,438,555,1
84,210,733,1
85,1284,329,1
86,827,518,1
87,1065,234,1
88,624,548,1
89,444,109,1
90,940,299,1
91,246,271,1
92,411,525,1
93,1365,374,1
94,1362,596,1
95,383,715,1
96,956,273,1
97,839,323,1
98,747,371,1
99,805,279,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
