### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,698,396,-101.966,0,255,0,0,100,1,1
1,725,423,3.3278,0,255,0,0,100,1,1
2,139,621,-41.5858,0,255,0,0,100,1,1
3,1061,461,-29.6149,0,255,0,0,100,1,1
4,350,672,-2.99368,0,255,0,0,100,1,1
5,575,701,42.5476,0,255,0,0,100,1,1
6,1377,667,49.6304,0,255,0,0,100,1,1
7,419,18,110.348,0,255,0,0,100,1,1
8,820,585,85.7658,0,255,0,0,100,1,1
9,186,58,-118.116,0,255,0,0,100,1,1
10,377,725,105.937,0,255,0,0,100,1,1
11,964,382,141.908,0,255,0,0,100,1,1
12,1334,378,-35.7504,0,255,0,0,100,1,1
13,520,453,170.759,0,255,0,0,100,1,1
14,31,430,48.161,0,255,0,0,100,1,1
15,1297,622,59.2371,0,255,0,0,100,1,1
16,918,449,153.586,0,255,0,0,100,1,1
17,318,602,78.1615,0,255,0,0,100,1,1
18,893,669,106.995,0,255,0,0,100,1,1
19,930,139,-44.5593,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,1070,334,1
1,973,552,1
2,862,770,1
3,333,520,1
4,743,207,1
5,1240,120,1
6,1164,69,1
7,422,383,1
8,436,108,1
9,763,721,1
10,1349,596,1
11,628,408,1
12,453,284,1
13,597,583,1
14,868,194,1
15,85,202,1
16,375,741,1
17,888,125,1
18,915,73,1
19,248,663,1
20,606,727,1
21,658,36,1
22,1113,330,1
23,1298,466,1
24,366,643,1
25,912,610,1
26,229,684,1
27,716,660,1
28,558,326,1
29,1228,401,1
30,1261,647,1
31,1329,564,1
32,367,154,1
33,1181,413,1
34,1185,644,1
35,194,395,1
36,219,298,1
37,1261,303,1
38,1191,201,1
39,1027,500,1
40,412,201,1
41,544,372,1
42,469,322,1
43,1108,170,1
44,422,318,1
45,429,700,1
46,250,572,1
47,1318,602,1
48,810,640,1
49,1017,78,1
50,451,33,1
51,51,452,1
52,302,367,1
53,665,529,1
54,250,42,1
55,1039,482,1
56,119,630,1
57,916,501,1
58,1299,420,1
59,288,197,1
60,1224,378,1
61,61,642,1
62,1326,460,1
63,1042,114,1
64,182,497,1
65,1101,292,1
66,1269,341,1
67,785,145,1
68,87,503,1
69,341,708,1
70,104,33,1
71,345,193,1
72,1184,481,1
73,36,351,1
74,132,460,1
75,790,769,1
76,79,136,1
77,1249,689,1
78,831,264,1
79,273,265,1
80,524,496,1
81,437,670,1
82,1129,314,1
83,457,104,1
84,915,180,1
85,998,172,1
86,458,372,1
87,507,655,1
88,951,289,1
89,762,301,1
90,369,330,1
91,639,264,1
92,27,61,1
93,331,329,1
94,782,663,1
95,884,439,1
96,87,724,1
97,1144,456,1
98,201,37,1
99,140,336,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
