### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,699,396,-59.0215,0,255,0,0,100,1,1
1,721,422,-143.876,0,255,0,0,100,1,1
2,377,274,-116.672,0,255,0,0,100,1,1
3,932,606,8.58902,0,255,0,0,100,1,1
4,1188,311,108.835,0,255,0,0,100,1,1
5,903,209,-24.3174,0,255,0,0,100,1,1
6,486,657,5.45943,0,255,0,0,100,1,1
7,1308,736,172.259,0,255,0,0,100,1,1
8,792,535,130.934,0,255,0,0,100,1,1
9,1258,338,-129.024,0,255,0,0,100,1,1
10,527,347,14.1363,0,255,0,0,100,1,1
11,362,330,151.524,0,255,0,0,100,1,1
12,1008,51,-32.4384,0,255,0,0,100,1,1
13,202,186,-147.152,0,255,0,0,100,1,1
14,69,278,-7.79782,0,255,0,0,100,1,1
15,942,177,-39.6014,0,255,0,0,100,1,1
16,916,715,-134.889,0,255,0,0,100,1,1
17,107,220,54.2264,0,255,0,0,100,1,1
18,338,55,-149.23,0,255,0,0,100,1,1
19,1356,130,-20.8292,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,942,420,1
1,279,348,1
2,1309,315,1
3,1367,608,1
4,1261,423,1
5,1170,389,1
6,693,630,1
7,781,462,1
8,817,593,1
9,988,367,1
10,1227,548,1
11,976,123,1
12,480,193,1
13,232,325,1
14,252,453,1
15,1041,440,1
16,708,279,1
17,746,138,1
18,446,386,1
19,315,369,1
20,185,113,1
21,1324,245,1
22,749,555,1
23,156,747,1
24,322,178,1
25,341,227,1
26,1014,580,1
27,761,183,1
28,604,651,1
29,522,214,1
30,134,95,1
31,210,96,1
32,1280,170,1
33,1101,521,1
34,125,663,1
35,620,680,1
36,183,223,1
37,1121,575,1
38,732,71,1
39,424,620,1
40,339,603,1
41,105,434,1
42,125,633,1
43,931,380,1
44,965,258,1
45,905,453,1
46,201,663,1
47,80,47,1
48,323,693,1
49,641,392,1
50,166,129,1
51,117,37,1
52,815,60,1
53,1325,416,1
54,540,479,1
55,448,322,1
56,810,485,1
57,421,679,1
58,934,254,1
59,119,722,1
60,383,165,1
61,541,619,1
62,706,333,1
63,1053,164,1
64,1338,512,1
65,651,101,1
66,245,732,1
67,238,270,1
68,252,536,1
69,51,470,1
70,1234,601,1
71,683,715,1
72,1233,105,1
73,1140,686,1
74,749,756,1
75,505,102,1
76,262,57,1
77,1345,415,1
78,580,502,1
79,336,133,1
80,473,158,1
81,450,122,1
82,975,515,1
83,1147,381,1
84,850,765,1
85,1096,680,1
86,387,65,1
87,190,363,1
88,1254,367,1
89,1063,71,1
90,300,698,1
91,343,545,1
92,215,312,1
93,1347,236,1
94,928,308,1
95,648,34,1
96,1369,667,1
97,1056,373,1
98,442,537,1
99,1238,723,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
