### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,696,398,-179.707,0,255,0,0,100,1,1
1,721,422,-150.541,0,255,0,0,100,1,1
2,661,98,-89.0453,0,255,0,0,100,1,1
3,887,720,96.2568,0,255,0,0,100,1,1
4,1355,114,-35.316,0,255,0,0,100,1,1
5,862,493,5.39649,0,255,0,0,100,1,1
6,821,106,42.1133,0,255,0,0,100,1,1
7,667,317,-79.5233,0,255,0,0,100,1,1
8,845,116,-60.381,0,255,0,0,100,1,1
9,94,40,-169.199,0,255,0,0,100,1,1
10,441,274,110.494,0,255,0,0,100,1,1
11,779,691,-7.19338,0,255,0,0,100,1,1
12,746,165,165.067,0,255,0,0,100,1,1
13,855,499,-137.581,0,255,0,0,100,1,1
14,1154,420,-20.0984,0,255,0,0,100,1,1
15,862,272,44.0002,0,255,0,0,100,1,1
16,256,346,-47.041,0,255,0,0,100,1,1
17,1243,332,-155.22,0,255,0,0,100,1,1
18,904,285,-4.05408,0,255,0,0,100,1,1
19,897,461,171.329,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,607,93,1
1,391,175,1
2,1230,406,1
3,483,419,1
4,702,372,1
5,112,345,1
6,846,191,1
7,858,338,1
8,1168,343,1
9,782,350,1
10,1160,244,1
11,1163,655,1
12,848,153,1
13,304,167,1
14,35,383,1
15,159,292,1
16,447,225,1
17,170,74,1
18,115,219,1
19,1064,720,1
20,668,427,1
21,842,618,1
22,1287,651,1
23,750,399,1
24,903,669,1
25,1273,763,1
26,974,619,1
27,973,164,1
28,248,310,1
29,1180,392,1
30,1311,101,1
31,635,41,1
32,1108,41,1
33,1316,372,1
34,1275,429,1
35,329,96,1
36,745,232,1
37,259,736,1
38,1091,217,1
39,232,565,1
40,816,78,1
41,927,627,1
42,1204,65,1
43,523,106,1
44,320,391,1
45,313,662,1
46,1179,226,1
47,738,520,1
48,905,100,1
49,718,635,1
50,233,273,1
51,1185,414,1
52,313,359,1
53,757,503,1
54,57,631,1
55,921,475,1
56,1262,464,1
57,295,597,1
58,1090,174,1
59,148,447,1
60,154,378,1
61,1302,525,1
62,131,556,1
63,573,597,1
64,278,725,1
65,1285,64,1
66,1324,660,1
67,439,731,1
68,119,706,1
69,454,191,1
70,615,429,1
71,302,131,1
72,823,146,1
73,255,336,1
74,818,407,1
75,902,715,1
76,663,465,1
77,763,642,1
78,1146,389,1
79,291,107,1
80,726,289,1
81,729,612,1
82,507,504,1
83,1312,189,1
84,360,374,1
85,966,362,1
86,1062,616,1
87,157,331,1
88,199,533,1
89,631,72,1
90,1329,483,1
91,34,354,1
92,1029,691,1
93,1005,148,1
94,601,700,1
95,561,343,1
96,439,146,1
97,771,39,1
98,1205,178,1
99,1025,72,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
