### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,698,396,-98.4072,0,255,0,0,100,1,1
1,721,423,-172.014,0,255,0,0,100,1,1
2,316,128,-96.5772,0,255,0,0,100,1,1
3,956,618,-124.623,0,255,0,0,100,1,1
4,1169,514,-50.2919,0,255,0,0,100,1,1
5,84,605,95.0002,0,255,0,0,100,1,1
6,558,260,148.382,0,255,0,0,100,1,1
7,261,216,-93.9162,0,255,0,0,100,1,1
8,95,95,62.4483,0,255,0,0,100,1,1
9,290,456,44.962,0,255,0,0,100,1,1
10,679,564,-8.77381,0,255,0,0,100,1,1
11,168,732,74.639,0,255,0,0,100,1,1
12,330,239,-11.5908,0,255,0,0,100,1,1
13,1026,566,8.6928,0,255,0,0,100,1,1
14,722,612,-116.472,0,255,0,0,100,1,1
15,193,326,176.385,0,255,0,0,100,1,1
16,409,483,-122.622,0,255,0,0,100,1,1
17,1375,143,58.2544,0,255,0,0,100,1,1
18,1024,590,-93.4857,0,255,0,0,100,1,1
19,1097,227,-47.0974,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,200,201,1
1,864,307,1
2,323,147,1
3,1149,651,1
4,984,346,1
5,1362,362,1
6,866,445,1
7,1318,509,1
8,691,638,1
9,691,373,1
10,344,226,1
11,1027,581,1
12,1248,348,1
13,701,525,1
14,678,499,1
15,915,513,1
16,447,639,1
17,405,207,1
18,1142,563,1
19,1063,642,1
20,261,676,1
21,505,600,1
22,160,681,1
23,327,101,1
24,1256,673,1
25,943,606,1
26,1056,50,1
27,796,178,1
28,607,110,1
29,339,711,1
30,130,186,1
31,441,416,1
32,1207,496,1
33,218,440,1
34,122,481,1
35,880,274,1
36,57,474,1
37,605,250,1
38,653,549,1
39,898,689,1
40,253,435,1
41,155,110,1
42,68,279,1
43,741,36,1
44,871,210,1
45,288,511,1
46,467,340,1
47,35,394,1
48,818,454,1
49,740,723,1
50,880,732,1
51,70,358,1
52,1273,378,1
53,634,738,1
54,479,292,1
55,888,591,1
56,565,205,1
57,186,643,1
58,981,66,1
59,1047,440,1
60,449,82,1
61,1364,621,1
62,1282,150,1
63,150,137,1
64,668,182,1
65,264,517,1
66,86,256,1
67,486,418,1
68,1274,735,1
69,647,351,1
70,680,291,1
71,500,533,1
72,992,291,1
73,1110,716,1
74,331,269,1
75,931,481,1
76,844,455,1
77,727,379,1
78,1048,658,1
79,31,281,1
80,460,461,1
81,1032,298,1
82,920,347,1
83,522,217,1
84,651,513,1
85,1291,46,1
86,498,381,1
87,1151,764,1
88,595,466,1
89,916,199,1
90,205,226,1
91,972,310,1
92,629,459,1
93,896,550,1
94,997,81,1
95,346,661,1
96,459,155,1
97,1152,110,1
98,1152,475,1
99,899,667,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
