### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,700,398,0.0719421,0,255,0,0,100,1,1
1,725,424,18.6865,0,255,0,0,100,1,1
2,361,80,66.4842,0,255,0,0,100,1,1
3,688,166,-6.3716,0,255,0,0,100,1,1
4,1151,360,115.075,0,255,0,0,100,1,1
5,74,70,4.95197,0,255,0,0,100,1,1
6,107,385,-119.706,0,255,0,0,100,1,1
7,1158,643,-57.209,0,255,0,0,100,1,1
8,391,433,16.2389,0,255,0,0,100,1,1
9,1208,169,-134.406,0,255,0,0,100,1,1
10,1166,27,-22.212,0,255,0,0,100,1,1
11,159,776,53.0971,0,255,0,0,100,1,1
12,466,98,-71.8769,0,255,0,0,100,1,1
13,51,482,-153.799,0,255,0,0,100,1,1
14,1156,653,-71.4104,0,255,0,0,100,1,1
15,464,778,60.7936,0,255,0,0,100,1,1
16,288,223,6.37273,0,255,0,0,100,1,1
17,233,140,-39.035,0,255,0,0,100,1,1
18,300,490,76.8537,0,255,0,0,100,1,1
19,1343,98,-24.1336,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,620,33,1
1,713,579,1
2,347,359,1
3,455,337,1
4,882,686,1
5,940,283,1
6,644,407,1
7,100,517,1
8,390,255,1
9,1074,561,1
10,1125,250,1
11,1118,659,1
12,1132,149,1
13,924,682,1
14,812,479,1
15,1106,270,1
16,419,70,1
17,1304,257,1
18,99,263,1
19,511,236,1
20,349,508,1
21,888,306,1
22,354,567,1
23,410,544,1
24,1097,143,1
25,1265,557,1
26,335,203,1
27,848,493,1
28,275,197,1
29,571,213,1
30,865,421,1
31,177,595,1
32,1327,693,1
33,842,703,1
34,529,355,1
35,86,451,1
36,1343,298,1
37,869,267,1
38,286,599,1
39,930,367,1
40,146,725,1
41,161,501,1
42,1304,739,1
43,493,352,1
44,109,185,1
45,1117,200,1
46,773,498,1
47,903,609,1
48,592,488,1
49,236,175,1
50,34,321,1
51,757,311,1
52,984,48,1
53,1005,574,1
54,77,513,1
55,178,339,1
56,1240,561,1
57,1203,395,1
58,221,502,1
59,799,91,1
60,1060,402,1
61,703,28,1
62,678,367,1
63,1068,122,1
64,1042,130,1
65,932,51,1
66,280,761,1
67,896,85,1
68,551,544,1
69,40,161,1
70,1162,364,0
71,880,217,1
72,845,437,1
73,788,453,1
74,947,615,1
75,216,122,1
76,1081,191,1
77,756,245,1
78,880,390,1
79,151,585,1
80,355,715,1
81,198,605,1
82,180,448,1
83,421,716,1
84,939,468,1
85,1001,240,1
86,492,604,1
87,528,761,1
88,1093,252,1
89,1042,357,1
90,559,111,1
91,1336,69,1
92,553,467,1
93,402,570,1
94,710,552,1
95,1223,99,1
96,298,372,1
97,933,182,1
98,268,35,1
99,786,546,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
