### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,698,400,84.1766,0,255,0,0,100,1,1
1,724,422,-47.9931,0,255,0,0,100,1,1
2,133,484,163.847,0,255,0,0,100,1,1
3,1023,37,-160.196,0,255,0,0,100,1,1
4,1020,405,-114.489,0,255,0,0,100,1,1
5,1117,69,-80.6255,0,255,0,0,100,1,1
6,437,488,148.83,0,255,0,0,100,1,1
7,525,679,-137.015,0,255,0,0,100,1,1
8,1339,562,100.544,0,255,0,0,100,1,1
9,1084,347,-112.556,0,255,0,0,100,1,1
10,463,771,142.222,0,255,0,0,100,1,1
11,1284,273,69.2486,0,255,0,0,100,1,1
12,1021,319,44.0396,0,255,0,0,100,1,1
13,1030,482,-113.655,0,255,0,0,100,1,1
14,762,92,172.471,0,255,0,0,100,1,1
15,157,391,-25.2301,0,255,0,0,100,1,1
16,430,381,-19.9723,0,255,0,0,100,1,1
17,21,507,-15.8538,0,255,0,0,100,1,1
18,639,64,154.926,0,255,0,0,100,1,1
19,875,537,49.1156,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,67,706,1
1,1278,627,1
2,982,374,1
3,176,462,1
4,109,356,1
5,807,581,1
6,118,105,1
7,1230,286,1
8,1112,677,1
9,770,626,1
10,770,565,1
11,120,189,1
12,648,636,1
13,194,654,1
14,290,372,1
15,1293,126,1
16,211,83,1
17,853,165,1
18,780,244,1
19,1298,398,1
20,208,453,1
21,1188,699,1
22,947,56,1
23,935,457,1
24,395,668,1
25,210,359,1
26,1114,506,1
27,1074,731,1
28,935,252,1
29,309,95,1
30,486,343,1
31,216,220,1
32,648,681,1
33,346,102,1
34,1143,647,1
35,341,181,1
36,231,596,1
37,260,179,1
38,812,474,1
39,320,210,1
40,79,617,1
41,477,27,1
42,1005,87,1
43,314,253,1
44,708,725,1
45,994,564,1
46,461,92,1
47,85,198,1
48,1068,433,1
49,189,405,1
50,549,597,1
51,161,58,1
52,1200,196,1
53,492,750,1
54,751,64,1
55,1165,300,1
56,44,277,1
57,818,429,1
58,1184,183,1
59,148,132,1
60,59,207,1
61,999,470,1
62,229,328,1
63,439,394,1
64,618,582,1
65,1259,562,1
66,597,28,1
67,974,240,1
68,785,182,1
69,803,230,1
70,360,201,1
71,695,555,1
72,1243,269,1
73,284,335,1
74,576,591,1
75,1322,677,1
76,95,104,1
77,416,375,1
78,386,557,1
79,1236,714,1
80,1100,161,1
81,905,760,1
82,170,223,1
83,1099,357,1
84,1335,305,1
85,367,248,1
86,175,566,1
87,1013,420,1
88,1213,606,1
89,1014,592,1
90,650,276,1
91,837,493,1
92,1053,591,1
93,185,258,1
94,1100,732,1
95,766,669,1
96,1207,172,1
97,950,294,1
98,656,555,1
99,1155,425,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
