### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,698,396,-103.632,0,255,0,0,100,1,1
1,722,421,-106.029,0,255,0,0,100,1,1
2,629,406,141.987,0,255,0,0,100,1,1
3,1116,493,153.001,0,255,0,0,100,1,1
4,1073,337,-71.8781,0,255,0,0,100,1,1
5,29,266,67.5727,0,255,0,0,100,1,1
6,1206,563,-97.2275,0,255,0,0,100,1,1
7,728,159,-148.425,0,255,0,0,100,1,1
8,1222,251,76.5595,0,255,0,0,100,1,1
9,1168,91,-95.5467,0,255,0,0,100,1,1
10,673,190,-153.685,0,255,0,0,100,1,1
11,93,573,128.777,0,255,0,0,100,1,1
12,384,468,-13.9226,0,255,0,0,100,1,1
13,774,19,-175.553,0,255,0,0,100,1,1
14,1008,204,90.7791,0,255,0,0,100,1,1
15,1234,77,136.006,0,255,0,0,100,1,1
16,1035,374,-98.7728,0,255,0,0,100,1,1
17,65,211,84.3602,0,255,0,0,100,1,1
18,345,715,122.977,0,255,0,0,100,1,1
19,395,686,-125.787,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,1352,676,1
1,190,752,1
2,423,205,1
3,177,697,1
4,1047,753,1
5,1056,56,1
6,811,119,1
7,1344,422,1
8,1222,164,1
9,1164,442,1
10,261,595,1
11,1343,601,1
12,692,491,1
13,1014,383,1
14,779,214,1
15,579,29,1
16,492,332,1
17,1257,599,1
18,115,35,1
19,540,36,1
20,34,172,1
21,786,545,1
22,149,131,1
23,1034,464,1
24,100,425,1
25,303,335,1
26,780,118,1
27,508,88,1
28,571,386,1
29,949,239,1
30,501,67,1
31,671,736,1
32,191,638,1
33,407,540,1
34,677,349,1
35,638,628,1
36,708,720,1
37,379,558,1
38,1195,576,1
39,299,668,1
40,1133,468,1
41,1359,316,1
42,401,339,1
43,1197,684,1
44,606,472,1
45,1082,288,1
46,89,199,1
47,353,680,1
48,774,591,1
49,811,765,1
50,1312,449,1
51,879,182,1
52,375,219,1
53,826,488,1
54,791,318,1
55,292,722,1
56,438,349,1
57,713,638,1
58,557,741,1
59,735,319,1
60,823,366,1
61,694,410,1
62,807,386,1
63,224,381,1
64,454,307,1
65,540,274,1
66,597,414,1
67,611,86,1
68,1225,534,1
69,55,475,1
70,534,727,1
71,683,142,1
72,161,740,1
73,661,694,1
74,1140,74,1
75,663,615,1
76,237,515,1
77,399,214,1
78,896,484,1
79,1356,165,1
80,41,645,1
81,220,619,1
82,1324,82,1
83,1135,492,1
84,250,691,1
85,1026,531,1
86,215,515,1
87,749,392,1
88,1281,665,1
89,1267,621,1
90,1227,559,1
91,1068,693,1
92,1342,101,1
93,1287,534,1
94,1141,158,1
95,514,723,1
96,1053,478,1
97,369,261,1
98,726,39,1
99,167,227,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
