### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,700,397,-35.4236,0,255,0,0,100,1,1
1,721,423,169.319,0,255,0,0,100,1,1
2,684,590,21.9551,0,255,0,0,100,1,1
3,849,731,38.2154,0,255,0,0,100,1,1
4,34,265,83.2953,0,255,0,0,100,1,1
5,33,693,-154.605,0,255,0,0,100,1,1
6,208,128,-114.096,0,255,0,0,100,1,1
7,327,727,8.17352,0,255,0,0,100,1,1
8,1327,708,-153.665,0,255,0,0,100,1,1
9,483,155,151.98,0,255,0,0,100,1,1
10,1350,513,107.727,0,255,0,0,100,1,1
11,958,345,4.33656,0,255,0,0,100,1,1
12,771,732,108.693,0,255,0,0,100,1,1
13,140,408,-42.3682,0,255,0,0,100,1,1
14,1302,71,67.0376,0,255,0,0,100,1,1
15,218,174,46.7054,0,255,0,0,100,1,1
16,1172,322,-162.979,0,255,0,0,100,1,1
17,314,102,22.7109,0,255,0,0,100,1,1
18,663,239,-122.308,0,255,0,0,100,1,1
19,739,161,114.476,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,561,743,1
1,259,346,1
2,611,207,1
3,1339,36,1
4,95,143,1
5,550,259,1
6,358,557,1
7,1367,385,1
8,740,597,1
9,231,682,1
10,102,530,1
11,1256,358,1
12,983,385,1
13,537,338,1
14,437,76,1
15,203,90,1
16,766,313,1
17,727,468,1
18,759,726,1
19,862,727,1
20,583,309,1
21,1240,764,1
22,525,736,1
23,627,546,1
24,649,277,1
25,1170,748,1
26,989,139,1
27,1287,605,1
28,844,452,1
29,80,319,1
30,279,688,1
31,122,191,1
32,754,416,1
33,1358,169,1
34,995,218,1
35,1287,750,1
36,904,52,1
37,346,425,1
38,375,38,1
39,1045,745,1
40,617,92,1
41,303,232,1
42,1255,82,1
43,544,397,1
44,332,73,1
45,1338,59,1
46,288,154,1
47,443,211,1
48,296,61,1
49,908,647,1
50,1190,625,1
51,807,294,1
52,1096,262,1
53,1108,37,1
54,1073,685,1
55,1057,220,1
56,1022,26,1
57,915,115,1
58,210,373,1
59,152,687,1
60,784,162,1
61,486,564,1
62,157,316,1
63,604,758,1
64,210,285,1
65,359,742,1
66,946,322,1
67,191,774,1
68,301,441,1
69,205,232,1
70,133,762,1
71,263,156,1
72,927,711,1
73,186,255,1
74,201,730,1
75,627,349,1
76,1054,622,1
77,963,89,1
78,831,98,1
79,1322,388,1
80,1136,57,1
81,899,498,1
82,527,208,1
83,706,683,1
84,532,666,1
85,847,378,1
86,590,86,1
87,946,296,1
88,556,630,1
89,876,277,1
90,1204,209,1
91,617,231,1
92,975,171,1
93,703,304,1
94,408,57,1
95,703,134,1
96,1222,252,1
97,388,636,1
98,868,246,1
99,63,713,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
