### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,424,378,-139.151,0,255,0,0,100,1,1
1,352,235,-19.523,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,331,181,1
1,161,263,1
2,80,309,1
3,528,346,1
4,107,298,1
5,543,482,1
6,80,273,1
7,445,66,1
8,330,413,1
9,484,319,1
10,375,570,1
11,530,113,1
12,489,462,1
13,366,541,1
14,158,425,1
15,485,37,1
16,128,155,1
17,127,40,1
18,119,191,1
19,220,401,1
20,93,494,1
21,178,386,1
22,108,76,1
23,410,396,1
24,244,314,1
25,59,369,1
26,274,425,1
27,228,294,1
28,451,277,1
29,225,63,1
30,546,222,1
31,58,463,1
32,139,59,1
33,328,563,1
34,266,116,1
35,332,139,1
36,469,193,1
37,114,551,1
38,64,339,1
39,546,455,1
40,301,90,1
41,64,484,1
42,465,430,1
43,384,210,1
44,400,484,1
45,450,347,1
46,503,223,1
47,502,434,1
48,527,382,1
49,84,371,1
50,226,39,1
51,528,529,1
52,254,415,1
53,183,347,1
54,44,139,1
55,403,419,1
56,511,461,1
57,154,571,1
58,495,68,1
59,349,531,1
60,435,436,1
61,269,384,1
62,357,35,1
63,164,508,1
64,343,157,1
65,573,187,1
66,573,305,1
67,218,273,1
68,394,576,1
69,519,133,1
70,274,338,1
71,569,436,1
72,158,154,1
73,418,309,1
74,408,144,1
75,388,401,1
76,73,82,1
77,478,148,1
78,139,454,1
79,198,516,1
80,44,242,1
81,459,459,1
82,30,106,1
83,224,113,1
84,140,366,1
85,240,574,1
86,80,141,1
87,23,493,1
88,494,375,1
89,478,243,1
90,288,372,1
91,449,507,1
92,115,371,1
93,74,32,1
94,205,462,1
95,281,178,1
96,151,135,1
97,312,277,1
98,278,277,1
99,431,254,1
100,293,408,1
101,227,354,1
102,296,48,1
103,193,201,1
104,554,294,1
105,23,281,1
106,85,185,1
107,390,244,1
108,545,324,1
109,229,205,1
110,232,452,1
111,153,181,1
112,573,389,1
113,106,109,1
114,486,406,1
115,348,86,1
116,266,206,1
117,561,538,1
118,444,371,1
119,55,389,1
120,166,63,1
121,487,204,1
122,274,572,1
123,556,360,1
124,149,244,1
125,186,560,1
126,436,206,1
127,271,43,1
128,576,72,1
129,133,269,1
130,198,115,1
131,524,258,1
132,304,232,1
133,125,392,1
134,88,253,1
135,521,431,1
136,21,235,1
137,433,136,1
138,491,501,1
139,178,467,1
140,173,543,1
141,368,285,1
142,49,111,1
143,363,204,1
144,327,329,1
145,222,557,1
146,361,510,1
147,353,113,1
148,54,436,1
149,358,371,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
