### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,520,503,41.6434,0,255,0,0,100,1,1
1,471,283,166.226,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,547,482,1
1,389,265,1
2,420,290,1
3,277,52,1
4,151,563,1
5,328,465,1
6,284,107,1
7,219,498,1
8,222,361,1
9,333,413,1
10,454,166,1
11,208,532,1
12,206,93,1
13,330,246,1
14,312,322,1
15,312,222,1
16,136,550,1
17,202,155,1
18,174,360,1
19,354,546,1
20,581,54,1
21,108,494,1
22,202,381,1
23,103,313,1
24,392,433,1
25,283,353,1
26,515,250,1
27,206,277,1
28,355,377,1
29,468,124,1
30,317,93,1
31,330,134,1
32,192,486,1
33,306,43,1
34,515,154,1
35,392,359,1
36,434,25,1
37,194,70,1
38,117,97,1
39,233,102,1
40,369,433,1
41,384,164,1
42,411,556,1
43,132,393,1
44,112,379,1
45,37,74,1
46,487,555,1
47,257,362,1
48,442,99,1
49,248,28,1
50,384,240,1
51,121,211,1
52,54,242,1
53,128,70,1
54,181,21,1
55,481,508,1
56,467,335,1
57,30,298,1
58,504,63,1
59,444,556,1
60,562,260,1
61,280,415,1
62,360,102,1
63,359,160,1
64,41,502,1
65,476,244,1
66,423,240,1
67,152,402,1
68,183,144,1
69,579,224,1
70,360,308,1
71,91,530,1
72,549,525,1
73,300,152,1
74,488,301,1
75,381,389,1
76,218,433,1
77,553,72,1
78,64,159,1
79,429,505,1
80,517,34,1
81,40,225,1
82,328,386,1
83,62,327,1
84,525,483,1
85,278,394,1
86,128,327,1
87,164,203,1
88,154,111,1
89,522,450,1
90,400,179,1
91,47,446,1
92,232,406,1
93,328,270,1
94,364,339,1
95,28,477,1
96,477,394,1
97,262,287,1
98,461,513,1
99,101,250,1
100,145,30,1
101,578,452,1
102,497,224,1
103,72,80,1
104,187,535,1
105,350,278,1
106,74,431,1
107,569,395,1
108,21,138,1
109,50,480,1
110,442,50,1
111,99,157,1
112,93,25,1
113,513,95,1
114,83,211,1
115,158,236,1
116,444,536,1
117,452,305,1
118,176,411,1
119,505,469,1
120,357,40,1
121,19,355,1
122,112,286,1
123,506,403,1
124,551,205,1
125,212,51,1
126,378,491,1
127,127,358,1
128,243,310,1
129,163,465,1
130,394,406,1
131,559,35,1
132,346,57,1
133,193,207,1
134,205,331,1
135,538,385,1
136,50,142,1
137,46,313,1
138,112,532,1
139,400,59,1
140,275,82,1
141,138,437,1
142,236,254,1
143,578,421,1
144,465,48,1
145,214,224,1
146,149,182,1
147,338,32,1
148,356,572,1
149,453,271,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
