### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,410,433,69.6122,0,255,0,0,100,1,1
1,509,350,-102.281,0,255,0,0,100,1,1
2,538,235,-169.413,0,255,0,0,100,1,1
3,135,289,-61.6554,0,255,0,0,100,1,1
4,340,54,-16.2171,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,555,304,1
1,64,416,1
2,73,563,1
3,374,99,1
4,460,119,1
5,474,75,1
6,38,61,1
7,179,139,1
8,403,238,1
9,280,286,1
10,145,285,1
11,157,64,1
12,311,485,1
13,209,152,1
14,221,474,1
15,225,417,1
16,518,55,1
17,294,121,1
18,444,69,1
19,477,157,1
20,33,517,1
21,155,404,1
22,331,148,1
23,428,54,1
24,197,427,1
25,330,173,1
26,336,320,1
27,149,531,1
28,201,554,1
29,177,219,1
30,289,225,1
31,230,281,1
32,419,527,1
33,576,54,1
34,429,169,1
35,20,468,1
36,298,46,1
37,211,320,1
38,489,33,1
39,118,200,1
40,299,455,1
41,311,333,1
42,66,250,1
43,501,529,1
44,448,556,1
45,29,128,1
46,230,28,1
47,94,100,1
48,43,145,1
49,203,195,1
50,293,411,1
51,449,217,1
52,341,226,1
53,136,437,1
54,511,294,1
55,471,196,1
56,522,155,1
57,310,88,1
58,542,114,1
59,577,337,1
60,246,518,1
61,48,123,1
62,575,83,1
63,565,511,1
64,358,447,1
65,473,311,1
66,89,143,1
67,494,201,1
68,188,369,1
69,423,288,1
70,545,341,1
71,316,290,1
72,163,323,1
73,191,172,1
74,558,151,1
75,478,571,1
76,274,322,1
77,95,233,1
78,86,35,1
79,287,93,1
80,567,229,1
81,526,344,1
82,85,212,1
83,94,164,1
84,377,41,1
85,145,226,1
86,252,191,1
87,179,350,1
88,348,133,1
89,354,352,1
90,391,81,1
91,397,576,1
92,201,230,1
93,553,562,1
94,168,433,1
95,437,90,1
96,289,514,1
97,283,437,1
98,186,253,1
99,176,292,1
100,248,426,1
101,52,171,1
102,182,554,1
103,201,479,1
104,41,97,1
105,277,467,1
106,373,212,1
107,534,478,1
108,314,426,1
109,249,553,1
110,59,83,1
111,211,101,1
112,384,309,1
113,495,403,1
114,556,462,1
115,74,451,1
116,489,426,1
117,123,464,1
118,388,471,1
119,122,280,1
120,562,362,1
121,60,469,1
122,100,271,1
123,417,392,1
124,240,131,1
125,533,569,1
126,579,571,1
127,260,404,1
128,515,114,1
129,496,356,1
130,352,520,1
131,270,35,1
132,403,315,1
133,191,46,1
134,155,97,1
135,354,570,1
136,134,140,1
137,306,308,1
138,346,266,1
139,37,216,1
140,374,531,1
141,545,275,1
142,23,397,1
143,542,379,1
144,506,262,1
145,302,186,1
146,278,536,1
147,249,377,1
148,396,285,1
149,557,252,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
