### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,398,134,82.2939,0,255,0,0,100,1,1
1,218,417,53.1561,0,255,0,0,100,1,1
2,324,352,36.9494,0,255,0,0,100,1,1
3,455,101,-33.5048,0,255,0,0,100,1,1
4,94,166,-7.46038,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,369,240,1
1,465,110,1
2,114,212,1
3,398,106,1
4,206,367,1
5,304,90,1
6,269,321,1
7,383,62,1
8,58,124,1
9,193,69,1
10,521,58,1
11,388,403,1
12,241,523,1
13,65,208,1
14,410,223,1
15,162,178,1
16,392,363,1
17,177,451,1
18,561,546,1
19,360,415,1
20,270,250,1
21,85,233,1
22,574,163,1
23,398,40,1
24,338,575,1
25,384,143,1
26,110,546,1
27,281,130,1
28,22,210,1
29,485,46,1
30,237,267,1
31,520,103,1
32,478,204,1
33,435,406,1
34,313,109,1
35,491,127,1
36,485,559,1
37,532,245,1
38,442,368,1
39,165,117,1
40,575,44,1
41,131,328,1
42,244,483,1
43,312,492,1
44,177,302,1
45,351,78,1
46,94,495,1
47,529,323,1
48,310,379,1
49,237,21,1
50,554,49,1
51,52,301,1
52,386,528,1
53,403,161,1
54,517,422,1
55,421,520,1
56,22,32,1
57,62,263,1
58,208,558,1
59,247,373,1
60,381,217,1
61,202,483,1
62,135,420,1
63,457,396,1
64,44,196,1
65,263,486,1
66,262,415,1
67,94,409,1
68,40,269,1
69,268,105,1
70,539,467,1
71,530,370,1
72,441,439,1
73,277,389,1
74,30,514,1
75,194,265,1
76,551,296,1
77,135,466,1
78,146,517,1
79,445,473,1
80,563,90,1
81,199,203,1
82,77,30,1
83,31,566,1
84,483,27,1
85,172,550,1
86,111,115,1
87,307,416,1
88,455,176,1
89,91,149,1
90,257,69,1
91,254,348,1
92,414,347,1
93,508,357,1
94,218,185,1
95,483,460,1
96,314,560,1
97,341,445,1
98,386,329,1
99,287,350,1
100,112,56,1
101,529,31,1
102,107,185,1
103,254,565,1
104,269,459,1
105,436,264,1
106,98,78,1
107,18,298,1
108,32,153,1
109,212,529,1
110,119,262,1
111,147,236,1
112,337,175,1
113,470,368,1
114,524,176,1
115,161,473,1
116,297,62,1
117,244,310,1
118,274,569,1
119,260,521,1
120,135,568,1
121,210,122,1
122,535,534,1
123,523,515,1
124,517,302,1
125,318,257,1
126,432,54,1
127,39,94,1
128,101,32,1
129,198,323,1
130,292,442,1
131,36,226,1
132,328,82,1
133,417,376,1
134,109,356,1
135,492,507,1
136,567,457,1
137,236,336,1
138,404,438,1
139,498,474,1
140,292,482,1
141,432,220,1
142,144,547,1
143,366,459,1
144,67,478,1
145,198,145,1
146,465,278,1
147,123,134,1
148,567,137,1
149,193,428,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
