### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,276,200,-100.553,0,255,0,0,100,1,1
1,377,554,-135.438,0,255,0,0,100,1,1
2,577,571,-99.5605,0,255,0,0,100,1,1
3,466,173,24.4131,0,255,0,0,100,1,1
4,248,529,49.9153,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,272,48,1
1,135,121,1
2,316,153,1
3,213,562,1
4,123,430,1
5,306,381,1
6,578,273,1
7,275,353,1
8,136,539,1
9,391,573,1
10,332,176,1
11,437,476,1
12,509,342,1
13,213,227,1
14,255,233,1
15,435,430,1
16,338,300,1
17,511,126,1
18,386,111,1
19,105,392,1
20,24,338,1
21,436,552,1
22,237,557,1
23,223,162,1
24,340,399,1
25,53,240,1
26,496,390,1
27,498,229,1
28,382,38,1
29,274,253,1
30,305,190,1
31,283,332,1
32,266,280,1
33,168,555,1
34,149,409,1
35,215,137,1
36,488,365,1
37,86,67,1
38,100,371,1
39,475,275,1
40,353,245,1
41,96,445,1
42,455,507,1
43,366,216,1
44,381,304,1
45,296,90,1
46,473,107,1
47,117,317,1
48,497,549,1
49,474,137,1
50,391,132,1
51,267,183,1
52,53,311,1
53,552,482,1
54,567,78,1
55,311,343,1
56,462,41,1
57,514,488,1
58,103,189,1
59,111,413,1
60,160,520,1
61,408,402,1
62,218,194,1
63,35,115,1
64,563,22,1
65,415,333,1
66,156,247,1
67,362,357,1
68,119,451,1
69,552,112,1
70,563,146,1
71,104,100,1
72,265,530,1
73,194,543,1
74,530,501,1
75,449,187,1
76,225,280,1
77,436,244,1
78,488,252,1
79,315,475,1
80,531,232,1
81,445,455,1
82,102,532,1
83,99,32,1
84,544,138,1
85,413,363,1
86,335,429,1
87,360,477,1
88,345,226,1
89,504,38,1
90,287,313,1
91,147,382,1
92,462,535,1
93,102,481,1
94,203,51,1
95,155,202,1
96,343,448,1
97,275,559,1
98,173,412,1
99,316,529,1
100,130,371,1
101,492,201,1
102,212,316,1
103,483,413,1
104,515,389,1
105,365,413,1
106,25,192,1
107,20,225,1
108,363,126,1
109,51,380,1
110,153,271,1
111,434,343,1
112,80,87,1
113,557,522,1
114,495,489,1
115,546,40,1
116,561,212,1
117,119,46,1
118,170,445,1
119,466,378,1
120,492,168,1
121,281,410,1
122,311,57,1
123,164,65,1
124,27,364,1
125,481,520,1
126,45,262,1
127,378,536,1
128,528,302,1
129,89,147,1
130,126,559,1
131,39,510,1
132,417,67,1
133,527,409,1
134,336,563,1
135,247,161,1
136,200,403,1
137,76,466,1
138,462,337,1
139,517,441,1
140,486,29,1
141,82,188,1
142,230,520,1
143,217,471,1
144,537,553,1
145,260,454,1
146,392,553,1
147,77,289,1
148,544,450,1
149,86,110,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
