### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,170,444,-162.112,0,255,0,0,100,1,1
1,475,56,-20.5448,0,255,0,0,100,1,1
2,393,228,-152.284,0,255,0,0,100,1,1
3,315,303,-148.525,0,255,0,0,100,1,1
4,571,39,2.8234,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,443,224,1
1,560,203,1
2,68,48,1
3,382,104,1
4,505,215,1
5,45,573,1
6,166,201,1
7,345,139,1
8,553,172,1
9,461,57,1
10,422,82,1
11,114,130,1
12,254,27,1
13,24,200,1
14,465,33,1
15,139,407,1
16,478,122,1
17,179,479,1
18,317,345,1
19,168,298,1
20,62,418,1
21,306,44,1
22,160,244,1
23,223,506,1
24,535,70,1
25,430,277,1
26,287,505,1
27,547,467,1
28,378,314,1
29,522,260,1
30,222,410,1
31,123,529,1
32,131,159,1
33,228,26,1
34,46,379,1
35,300,288,1
36,332,411,1
37,434,549,1
38,90,254,1
39,94,508,1
40,195,42,1
41,23,405,1
42,45,170,1
43,100,72,1
44,515,139,1
45,552,551,1
46,424,494,1
47,52,308,1
48,38,483,1
49,58,397,1
50,226,431,1
51,159,27,1
52,451,86,1
53,44,200,1
54,303,525,1
55,358,442,1
56,36,344,1
57,432,297,1
58,201,441,1
59,376,157,1
60,404,516,1
61,237,352,1
62,459,194,1
63,294,367,1
64,34,223,1
65,488,44,1
66,213,469,1
67,485,503,1
68,473,285,1
69,403,161,1
70,198,288,1
71,208,93,1
72,228,59,1
73,405,458,1
74,542,500,1
75,123,313,1
76,477,103,1
77,322,69,1
78,523,280,1
79,443,414,1
80,372,59,1
81,107,457,1
82,423,129,1
83,56,223,1
84,90,440,1
85,72,196,1
86,286,408,1
87,278,224,1
88,376,85,1
89,149,564,1
90,491,272,1
91,428,63,1
92,125,178,1
93,413,318,1
94,202,163,1
95,375,125,1
96,21,577,1
97,458,113,1
98,229,311,1
99,275,115,1
100,331,240,1
101,350,522,1
102,508,576,1
103,255,175,1
104,135,493,1
105,485,453,1
106,446,354,1
107,570,245,1
108,187,93,1
109,209,197,1
110,521,435,1
111,147,436,1
112,275,48,1
113,247,568,1
114,359,331,1
115,220,111,1
116,489,329,1
117,213,224,1
118,312,396,1
119,201,140,1
120,128,434,1
121,66,23,1
122,446,145,1
123,325,121,1
124,405,139,1
125,101,353,1
126,507,547,1
127,473,483,1
128,480,562,1
129,99,223,1
130,53,89,1
131,94,172,1
132,401,201,1
133,554,441,1
134,73,152,1
135,373,28,1
136,53,540,1
137,161,276,1
138,454,293,1
139,376,451,1
140,80,103,1
141,560,82,1
142,132,371,1
143,78,377,1
144,566,516,1
145,373,194,1
146,568,385,1
147,473,355,1
148,22,108,1
149,218,544,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
