### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,231,203,-50.105,0,255,0,0,100,1,1
1,73,124,153.625,0,255,0,0,100,1,1
2,124,48,-46.1654,0,255,0,0,100,1,1
3,387,260,-4.39482,0,255,0,0,100,1,1
4,177,96,-43.948,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,229,180,1
1,146,261,1
2,569,385,1
3,56,506,1
4,476,535,1
5,199,424,1
6,421,451,1
7,89,185,1
8,294,463,1
9,518,207,1
10,228,267,1
11,96,77,1
12,427,55,1
13,262,572,1
14,115,322,1
15,417,285,1
16,159,66,1
17,305,232,1
18,19,441,1
19,376,395,1
20,20,268,1
21,505,84,1
22,61,47,1
23,99,368,1
24,310,402,1
25,177,160,1
26,184,21,1
27,216,336,1
28,225,546,1
29,316,517,1
30,112,264,1
31,124,221,1
32,374,44,1
33,501,34,1
34,48,356,1
35,256,516,1
36,91,106,1
37,167,444,1
38,279,112,1
39,181,236,1
40,523,400,1
41,383,478,1
42,492,63,1
43,41,105,1
44,243,149,1
45,160,537,1
46,213,159,1
47,272,250,1
48,409,106,1
49,523,238,1
50,368,209,1
51,532,419,1
52,275,324,1
53,63,96,1
54,109,416,1
55,554,507,1
56,353,430,1
57,152,471,1
58,241,79,1
59,380,312,1
60,158,396,1
61,136,380,1
62,248,411,1
63,311,26,1
64,547,286,1
65,400,457,1
66,236,110,1
67,340,310,1
68,317,538,1
69,45,466,1
70,110,158,1
71,567,449,1
72,131,287,1
73,105,551,1
74,44,159,1
75,483,477,1
76,231,132,1
77,553,332,1
78,203,443,1
79,532,26,1
80,300,45,1
81,401,504,1
82,530,169,1
83,575,530,1
84,501,220,1
85,327,353,1
86,215,27,1
87,212,315,1
88,448,36,1
89,487,381,1
90,474,401,1
91,63,333,1
92,457,478,1
93,185,399,1
94,401,327,1
95,388,135,1
96,355,170,1
97,278,393,1
98,523,139,1
99,374,282,1
100,572,178,1
101,249,204,1
102,43,199,1
103,351,454,1
104,312,309,1
105,102,456,1
106,39,280,1
107,81,482,1
108,324,444,1
109,546,42,1
110,459,242,1
111,534,303,1
112,340,33,1
113,245,438,1
114,392,253,0
115,25,357,1
116,297,189,1
117,359,238,1
118,551,220,1
119,224,511,1
120,502,557,1
121,496,320,1
122,258,117,1
123,581,114,1
124,373,253,1
125,160,305,1
126,458,315,1
127,453,192,1
128,112,501,1
129,70,461,1
130,299,105,1
131,190,326,1
132,354,561,1
133,25,159,1
134,110,33,1
135,197,101,1
136,168,280,1
137,249,290,1
138,254,229,1
139,305,133,1
140,402,546,1
141,227,462,1
142,83,269,1
143,68,382,1
144,448,118,1
145,305,376,1
146,572,46,1
147,514,268,1
148,412,395,1
149,501,409,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
