### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,319,189,94.511,0,255,0,0,100,1,1
1,271,193,111.497,0,255,0,0,100,1,1
2,427,124,173.208,0,255,0,0,100,1,1
3,100,137,35.7778,0,255,0,0,100,1,1
4,155,229,-152.083,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,472,364,1
1,383,560,1
2,153,281,1
3,516,300,1
4,296,577,1
5,357,515,1
6,458,552,1
7,355,275,1
8,274,349,1
9,560,173,1
10,487,553,1
11,413,306,1
12,383,322,1
13,237,160,1
14,478,326,1
15,535,427,1
16,322,497,1
17,176,240,1
18,274,104,1
19,429,143,1
20,475,79,1
21,341,135,1
22,487,524,1
23,79,440,1
24,258,452,1
25,460,28,1
26,203,550,1
27,567,81,1
28,527,459,1
29,160,437,1
30,216,90,1
31,62,22,1
32,86,278,1
33,518,99,1
34,170,351,1
35,293,80,1
36,529,149,1
37,233,141,1
38,398,249,1
39,97,117,1
40,545,83,1
41,511,277,1
42,23,383,1
43,201,217,1
44,376,24,1
45,550,118,1
46,156,550,1
47,403,438,1
48,347,378,1
49,142,78,1
50,367,383,1
51,479,398,1
52,29,506,1
53,530,208,1
54,45,44,1
55,360,37,1
56,134,546,1
57,567,465,1
58,416,209,1
59,127,485,1
60,310,366,1
61,250,524,1
62,109,355,1
63,124,570,1
64,521,56,1
65,313,84,1
66,526,562,1
67,452,272,1
68,124,180,1
69,28,328,1
70,93,77,1
71,182,128,1
72,572,536,1
73,446,91,1
74,571,330,1
75,485,178,1
76,25,572,1
77,376,247,1
78,203,485,1
79,83,173,1
80,250,554,1
81,255,188,1
82,296,501,1
83,455,134,1
84,357,470,1
85,284,413,1
86,326,553,1
87,74,388,1
88,252,432,1
89,372,424,1
90,311,330,1
91,235,360,1
92,197,267,1
93,242,413,1
94,505,503,1
95,442,39,1
96,127,413,1
97,24,353,1
98,422,462,1
99,491,450,1
100,57,460,1
101,353,448,1
102,74,522,1
103,222,233,1
104,483,129,1
105,496,28,1
106,173,304,1
107,302,236,1
108,36,23,1
109,43,154,1
110,462,421,1
111,390,224,1
112,137,242,1
113,329,192,0
114,226,192,1
115,90,349,1
116,47,422,1
117,112,537,1
118,62,297,1
119,561,569,1
120,390,507,1
121,301,120,1
122,271,163,1
123,441,362,1
124,227,48,1
125,268,245,1
126,389,43,1
127,408,358,1
128,38,304,1
129,416,337,1
130,258,266,1
131,538,306,1
132,455,239,1
133,258,335,1
134,62,370,1
135,379,272,1
136,499,220,1
137,542,251,1
138,108,165,1
139,303,435,1
140,360,182,1
141,111,461,1
142,303,414,1
143,35,239,1
144,227,514,1
145,360,214,1
146,95,496,1
147,344,75,1
148,366,130,1
149,258,43,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
