### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,367,477,-12.1919,0,255,0,0,100,1,1
1,353,428,22.3529,0,255,0,0,100,1,1
2,31,19,-57.6517,0,255,0,0,100,1,1
3,378,18,27.6529,0,255,0,0,100,1,1
4,511,43,39.1806,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,395,207,1
1,515,197,1
2,159,424,1
3,469,343,1
4,363,545,1
5,264,231,1
6,49,335,1
7,97,276,1
8,503,344,1
9,327,89,1
10,576,281,1
11,68,73,1
12,446,530,1
13,456,160,1
14,21,343,1
15,85,98,1
16,302,487,1
17,465,225,1
18,238,297,1
19,140,392,1
20,574,326,1
21,41,23,0
22,573,141,1
23,453,416,1
24,239,385,1
25,243,193,1
26,378,567,1
27,169,243,1
28,234,267,1
29,239,46,1
30,234,21,1
31,350,444,1
32,531,486,1
33,272,129,1
34,320,391,1
35,502,258,1
36,50,84,1
37,272,399,1
38,93,344,1
39,193,381,1
40,434,52,1
41,506,447,1
42,209,106,1
43,422,525,1
44,190,56,1
45,251,148,1
46,509,100,1
47,270,62,1
48,26,422,1
49,563,553,1
50,539,444,1
51,34,281,1
52,83,480,1
53,462,493,1
54,175,135,1
55,159,397,1
56,560,207,1
57,415,221,1
58,341,390,1
59,49,404,1
60,377,122,1
61,67,441,1
62,304,139,1
63,95,511,1
64,550,237,1
65,268,311,1
66,220,409,1
67,412,101,1
68,473,561,1
69,445,188,1
70,187,416,1
71,48,187,1
72,422,265,1
73,377,43,1
74,568,503,1
75,136,506,1
76,304,100,1
77,297,213,1
78,362,351,1
79,418,431,1
80,130,310,1
81,439,491,1
82,305,521,1
83,70,365,1
84,498,540,1
85,276,167,1
86,205,142,1
87,141,360,1
88,59,239,1
89,464,438,1
90,322,48,1
91,100,561,1
92,318,420,1
93,212,481,1
94,573,241,1
95,405,564,1
96,304,318,1
97,553,420,1
98,240,340,1
99,393,398,1
100,131,547,1
101,535,26,1
102,563,525,1
103,403,165,1
104,192,191,1
105,273,504,1
106,24,111,1
107,24,495,1
108,114,47,1
109,489,177,1
110,506,384,1
111,371,245,1
112,176,525,1
113,214,380,1
114,262,418,1
115,374,282,1
116,201,313,1
117,340,124,1
118,81,422,1
119,514,80,1
120,341,37,1
121,149,229,1
122,409,127,1
123,489,318,1
124,28,363,1
125,512,240,1
126,267,478,1
127,580,448,1
128,162,85,1
129,111,222,1
130,18,534,1
131,354,109,1
132,130,483,1
133,392,109,1
134,377,465,1
135,64,109,1
136,210,55,1
137,210,290,1
138,480,142,1
139,253,562,1
140,174,491,1
141,162,281,1
142,427,320,1
143,396,292,1
144,135,138,1
145,341,371,1
146,423,469,1
147,410,493,1
148,495,508,1
149,549,53,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
