### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,56,265,-112.532,0,255,0,0,100,1,1
1,513,326,110.027,0,255,0,0,100,1,1
2,300,534,-126.26,0,255,0,0,100,1,1
3,16,286,30.9828,0,255,0,0,100,1,1
4,35,163,-67.9286,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,186,506,1
1,246,214,1
2,170,95,1
3,495,225,1
4,222,86,1
5,235,253,1
6,488,301,1
7,350,556,1
8,409,471,1
9,57,327,1
10,330,516,1
11,37,70,1
12,228,43,1
13,556,450,1
14,504,71,1
15,264,280,1
16,381,121,1
17,212,518,1
18,349,486,1
19,489,443,1
20,556,26,1
21,534,396,1
22,112,184,1
23,181,219,1
24,184,192,1
25,358,244,1
26,282,217,1
27,227,459,1
28,34,385,1
29,302,317,1
30,503,476,1
31,86,49,1
32,18,424,1
33,247,126,1
34,511,404,1
35,375,328,1
36,510,456,1
37,140,314,1
38,238,174,1
39,261,184,1
40,198,239,1
41,176,489,1
42,199,108,1
43,310,117,1
44,336,97,1
45,305,158,1
46,214,292,1
47,302,406,1
48,324,349,1
49,260,503,1
50,96,541,1
51,370,201,1
52,394,43,1
53,450,516,1
54,440,549,1
55,407,245,1
56,110,90,1
57,440,92,1
58,41,458,1
59,100,410,1
60,375,531,1
61,79,445,1
62,142,347,1
63,239,152,1
64,430,357,1
65,268,577,1
66,520,145,1
67,82,132,1
68,286,472,1
69,264,151,1
70,342,384,1
71,136,479,1
72,44,574,1
73,409,165,1
74,428,309,1
75,89,288,1
76,106,252,1
77,289,120,1
78,417,118,1
79,64,526,1
80,376,61,1
81,139,94,1
82,164,424,1
83,462,320,1
84,542,325,1
85,534,441,1
86,71,490,1
87,516,54,1
88,516,217,1
89,253,333,1
90,386,473,1
91,576,226,1
92,207,50,1
93,552,503,1
94,537,177,1
95,171,304,1
96,152,204,1
97,279,167,1
98,510,531,1
99,418,520,1
100,527,75,1
101,506,364,1
102,121,336,1
103,267,23,1
104,23,101,1
105,403,505,1
106,263,375,1
107,549,577,1
108,407,447,1
109,219,341,1
110,391,184,1
111,45,25,1
112,62,304,1
113,134,571,1
114,342,297,1
115,464,576,1
116,182,561,1
117,562,128,1
118,490,338,1
119,454,273,1
120,465,363,1
121,311,59,1
122,241,81,1
123,385,22,1
124,288,376,1
125,395,142,1
126,212,560,1
127,550,46,1
128,301,526,1
129,321,267,1
130,319,36,1
131,357,402,1
132,286,548,1
133,463,119,1
134,81,557,1
135,581,470,1
136,77,206,1
137,539,254,1
138,440,126,1
139,519,494,1
140,513,28,1
141,71,417,1
142,474,487,1
143,128,236,1
144,157,498,1
145,22,167,1
146,556,300,1
147,426,399,1
148,468,441,1
149,116,35,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
