### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,219,348,4.94976,0,255,0,0,100,1,1
1,553,365,4.57885,0,255,0,0,100,1,1
2,63,121,-21.1091,0,255,0,0,100,1,1
3,382,396,62.8307,0,255,0,0,100,1,1
4,88,110,90.0078,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,504,310,1
1,348,467,1
2,236,237,1
3,46,536,1
4,105,417,1
5,68,420,1
6,178,152,1
7,44,401,1
8,396,108,1
9,144,543,1
10,540,550,1
11,525,169,1
12,367,309,1
13,513,451,1
14,242,337,1
15,369,148,1
16,195,514,1
17,563,302,1
18,200,574,1
19,176,180,1
20,372,381,1
21,100,565,1
22,432,540,1
23,466,229,1
24,255,531,1
25,493,463,1
26,201,239,1
27,260,287,1
28,566,231,1
29,448,294,1
30,328,307,1
31,294,292,1
32,71,251,1
33,91,381,1
34,185,44,1
35,80,32,1
36,514,556,1
37,266,41,1
38,550,183,1
39,105,241,1
40,478,389,1
41,566,433,1
42,216,338,1
43,352,363,1
44,496,96,1
45,459,496,1
46,245,394,1
47,321,530,1
48,388,534,1
49,513,260,1
50,134,436,1
51,368,95,1
52,167,419,1
53,134,309,1
54,364,417,1
55,263,450,1
56,345,408,1
57,253,103,1
58,305,462,1
59,405,174,1
60,236,298,1
61,197,262,1
62,232,459,1
63,154,66,1
64,33,134,1
65,479,140,1
66,359,512,1
67,315,340,1
68,308,184,1
69,489,531,1
70,284,353,1
71,411,457,1
72,282,207,1
73,44,48,1
74,140,379,1
75,179,444,1
76,416,377,1
77,452,370,1
78,572,453,1
79,336,113,1
80,529,99,1
81,442,35,1
82,177,281,1
83,125,502,1
84,276,231,1
85,71,183,1
86,439,459,1
87,162,360,1
88,114,529,1
89,479,214,1
90,439,102,1
91,575,181,1
92,492,176,1
93,215,196,1
94,545,130,1
95,487,268,1
96,29,514,1
97,312,429,1
98,24,555,1
99,512,493,1
100,287,392,1
101,82,317,1
102,57,372,1
103,382,294,1
104,343,168,1
105,174,64,1
106,26,473,1
107,289,411,1
108,502,204,1
109,388,427,1
110,85,503,1
111,133,217,1
112,53,275,1
113,315,375,1
114,264,364,1
115,204,178,1
116,350,228,1
117,300,74,1
118,491,295,1
119,264,189,1
120,414,321,1
121,463,431,1
122,325,32,1
123,414,407,1
124,153,518,1
125,251,563,1
126,159,400,1
127,26,341,1
128,405,300,1
129,472,559,1
130,562,376,1
131,119,392,1
132,51,334,1
133,296,563,1
134,181,239,1
135,408,532,1
136,436,500,1
137,139,112,1
138,568,276,1
139,206,549,1
140,404,342,1
141,236,375,1
142,38,432,1
143,464,88,1
144,232,24,1
145,505,408,1
146,209,141,1
147,332,199,1
148,557,490,1
149,481,324,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
