### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,498,306,135.062,0,255,0,0,100,1,1
1,493,175,-135.28,0,255,0,0,100,1,1
2,222,43,-82.6816,0,255,0,0,100,1,1
3,247,320,-54.1394,0,255,0,0,100,1,1
4,58,181,163.707,0,255,0,0,100,1,1
5,498,15,-32.7708,0,255,0,0,100,1,1
6,566,450,-14.6907,0,255,0,0,100,1,1
7,330,149,-103.857,0,255,0,0,100,1,1
8,15,470,-86.1615,0,255,0,0,100,1,1
9,305,27,172.148,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
