### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,502,143,-171.889,0,255,0,0,100,1,1
1,47,538,-162.09,0,255,0,0,100,1,1
2,448,445,117.799,0,255,0,0,100,1,1
3,405,350,8.7125,0,255,0,0,100,1,1
4,476,387,-52.7114,0,255,0,0,100,1,1
5,436,265,-135.533,0,255,0,0,100,1,1
6,56,340,-84.4635,0,255,0,0,100,1,1
7,502,472,-29.962,0,255,0,0,100,1,1
8,26,507,68.5105,0,255,0,0,100,1,1
9,392,444,-153.435,0,255,0,0,100,1,1
10,553,522,46.2151,0,255,0,0,100,1,1
11,120,32,-149.644,0,255,0,0,100,1,1
12,423,14,36.4389,0,255,0,0,100,1,1
13,390,65,154.523,0,255,0,0,100,1,1
14,449,67,-22.6901,0,255,0,0,100,1,1
15,242,229,173.123,0,255,0,0,100,1,1
16,473,547,-32.2733,0,255,0,0,100,1,1
17,123,468,98.1712,0,255,0,0,100,1,1
18,36,236,120.665,0,255,0,0,100,1,1
19,309,473,-148.161,0,255,0,0,100,1,1
20,269,576,-115.246,0,255,0,0,100,1,1
21,139,333,-150.769,0,255,0,0,100,1,1
22,414,492,-93.7907,0,255,0,0,100,1,1
23,115,260,-171.052,0,255,0,0,100,1,1
24,358,183,83.6923,0,255,0,0,100,1,1
25,39,455,-41.2975,0,255,0,0,100,1,1
26,75,515,107.02,0,255,0,0,100,1,1
27,382,99,140.157,0,255,0,0,100,1,1
28,9,374,110.93,0,255,0,0,100,1,1
29,569,568,89.2357,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,340,489,1
1,322,533,1
2,360,281,1
3,261,484,1
4,99,72,1
5,374,543,1
6,464,28,1
7,208,546,1
8,449,181,1
9,290,368,1
10,359,111,1
11,352,398,1
12,224,302,1
13,87,509,0
14,182,228,1
15,136,355,0
16,266,402,1
17,45,323,0
18,200,319,1
19,489,342,1
20,223,120,1
21,180,517,1
22,470,497,1
23,264,534,1
24,416,550,1
25,76,263,1
26,451,245,0
27,314,205,1
28,302,319,1
29,338,319,1
30,232,503,1
31,112,198,1
32,76,350,1
33,40,529,0
34,380,379,1
35,239,133,1
36,376,57,0
37,246,212,0
38,402,146,1
39,324,468,0
40,218,423,1
41,197,151,1
42,346,554,1
43,528,194,1
44,106,544,1
45,34,498,0
46,448,414,1
47,146,532,1
48,374,34,1
49,491,185,1
50,143,81,1
51,560,95,1
52,387,352,0
53,304,265,1
54,419,283,0
55,558,574,0
56,269,564,0
57,232,74,1
58,272,512,1
59,272,34,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
