### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,28,79,136.289,0,255,0,0,100,1,1
1,357,534,107.002,0,255,0,0,100,1,1
2,380,198,-56.715,0,255,0,0,100,1,1
3,112,482,-33.7161,0,255,0,0,100,1,1
4,60,387,124.067,0,255,0,0,100,1,1
5,538,407,-2.80444,0,255,0,0,100,1,1
6,519,189,-73.985,0,255,0,0,100,1,1
7,81,201,-52.2149,0,255,0,0,100,1,1
8,16,214,169.161,0,255,0,0,100,1,1
9,130,404,53.7552,0,255,0,0,100,1,1
10,539,221,-162.75,0,255,0,0,100,1,1
11,373,430,165.759,0,255,0,0,100,1,1
12,544,299,-141.694,0,255,0,0,100,1,1
13,121,422,32.2478,0,255,0,0,100,1,1
14,239,225,118.943,0,255,0,0,100,1,1
15,14,195,31.6402,0,255,0,0,100,1,1
16,425,504,118.899,0,255,0,0,100,1,1
17,331,42,-106.657,0,255,0,0,100,1,1
18,569,513,34.1422,0,255,0,0,100,1,1
19,202,557,-63.6332,0,255,0,0,100,1,1
20,470,347,-73.9233,0,255,0,0,100,1,1
21,38,125,-111.375,0,255,0,0,100,1,1
22,516,454,50.3089,0,255,0,0,100,1,1
23,480,220,21.0228,0,255,0,0,100,1,1
24,138,144,48.3947,0,255,0,0,100,1,1
25,280,104,-119.213,0,255,0,0,100,1,1
26,537,443,-36.7956,0,255,0,0,100,1,1
27,51,124,28.2188,0,255,0,0,100,1,1
28,398,564,-79.1803,0,255,0,0,100,1,1
29,210,134,53.5245,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,97,296,1
1,393,210,0
2,349,305,1
3,316,276,1
4,468,301,1
5,463,560,1
6,524,419,0
7,344,385,1
8,387,511,1
9,64,454,1
10,86,223,0
11,544,511,1
12,117,228,1
13,284,321,1
14,169,529,1
15,345,333,1
16,199,570,0
17,293,393,1
18,507,499,1
19,404,468,1
20,82,542,1
21,322,536,1
22,384,379,1
23,581,152,1
24,376,148,1
25,168,477,1
26,412,82,1
27,250,551,1
28,558,211,0
29,464,135,1
30,262,87,1
31,158,38,1
32,381,242,1
33,480,230,0
34,530,338,1
35,342,27,0
36,564,568,1
37,71,335,1
38,110,274,1
39,552,240,0
40,297,164,1
41,87,279,1
42,451,41,1
43,360,398,1
44,57,311,1
45,496,82,1
46,281,463,1
47,533,463,0
48,337,441,1
49,498,303,1
50,487,509,1
51,269,52,1
52,518,45,1
53,129,276,1
54,459,276,1
55,303,141,1
56,442,309,1
57,374,301,1
58,254,145,1
59,172,151,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
