### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,120,209,38.5273,0,255,0,0,100,1,1
1,120,77,-84.4836,0,255,0,0,100,1,1
2,39,421,-9.56375,0,255,0,0,100,1,1
3,525,21,21.1954,0,255,0,0,100,1,1
4,343,237,48.7412,0,255,0,0,100,1,1
5,317,53,44.4141,0,255,0,0,100,1,1
6,281,340,-66.9597,0,255,0,0,100,1,1
7,456,542,-148.296,0,255,0,0,100,1,1
8,471,209,136.414,0,255,0,0,100,1,1
9,350,163,18.4997,0,255,0,0,100,1,1
10,44,521,130.937,0,255,0,0,100,1,1
11,242,210,-78.6617,0,255,0,0,100,1,1
12,349,551,-148.983,0,255,0,0,100,1,1
13,515,404,105.784,0,255,0,0,100,1,1
14,204,284,-81.4515,0,255,0,0,100,1,1
15,66,62,-122.938,0,255,0,0,100,1,1
16,483,232,122.62,0,255,0,0,100,1,1
17,287,100,-82.0427,0,255,0,0,100,1,1
18,182,195,138.022,0,255,0,0,100,1,1
19,428,509,42.5496,0,255,0,0,100,1,1
20,300,574,62.4961,0,255,0,0,100,1,1
21,414,46,113.702,0,255,0,0,100,1,1
22,29,19,-122.004,0,255,0,0,100,1,1
23,336,248,111.272,0,255,0,0,100,1,1
24,239,396,-82.9295,0,255,0,0,100,1,1
25,425,260,147.602,0,255,0,0,100,1,1
26,58,224,99.3717,0,255,0,0,100,1,1
27,563,172,-58.4092,0,255,0,0,100,1,1
28,379,25,-54.4761,0,255,0,0,100,1,1
29,585,15,-29.2633,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,210,209,1
1,96,392,1
2,322,46,0
3,509,480,1
4,300,308,1
5,523,369,1
6,349,543,0
7,334,499,1
8,93,161,1
9,107,519,1
10,365,222,0
11,239,564,1
12,268,218,0
13,260,571,1
14,555,263,1
15,441,396,1
16,542,378,1
17,286,182,1
18,61,462,1
19,349,325,1
20,570,245,1
21,191,412,1
22,63,282,1
23,462,234,0
24,191,283,0
25,148,221,1
26,381,415,1
27,569,32,0
28,465,449,1
29,171,390,1
30,515,576,1
31,18,556,1
32,218,49,1
33,32,277,1
34,149,305,1
35,532,81,1
36,575,473,1
37,332,157,0
38,184,206,0
39,56,398,0
40,407,167,1
41,97,31,1
42,512,123,1
43,86,236,1
44,188,311,1
45,256,480,1
46,449,504,1
47,420,186,1
48,206,564,1
49,351,405,1
50,229,163,1
51,368,529,0
52,155,283,1
53,545,569,1
54,96,264,1
55,325,554,0
56,259,426,1
57,147,574,1
58,500,504,1
59,559,554,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
