### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,48,494,74.353,0,255,0,0,100,1,1
1,222,344,39.4767,0,255,0,0,100,1,1
2,225,448,-68.4951,0,255,0,0,100,1,1
3,145,328,136.582,0,255,0,0,100,1,1
4,207,566,73.4718,0,255,0,0,100,1,1
5,567,481,87.7822,0,255,0,0,100,1,1
6,272,375,-166.144,0,255,0,0,100,1,1
7,405,263,-140.31,0,255,0,0,100,1,1
8,389,423,-7.46334,0,255,0,0,100,1,1
9,571,177,58.9692,0,255,0,0,100,1,1
10,153,22,85.0996,0,255,0,0,100,1,1
11,557,436,-24.8006,0,255,0,0,100,1,1
12,379,206,1.60674,0,255,0,0,100,1,1
13,264,369,-124.621,0,255,0,0,100,1,1
14,305,557,85.5773,0,255,0,0,100,1,1
15,322,96,23.1189,0,255,0,0,100,1,1
16,309,120,-137.165,0,255,0,0,100,1,1
17,43,512,1.69466,0,255,0,0,100,1,1
18,577,466,70.94,0,255,0,0,100,1,1
19,336,116,-170.492,0,255,0,0,100,1,1
20,483,233,132.869,0,255,0,0,100,1,1
21,307,466,-41.0126,0,255,0,0,100,1,1
22,361,577,-172.422,0,255,0,0,100,1,1
23,564,185,-47.1969,0,255,0,0,100,1,1
24,514,301,-61.5964,0,255,0,0,100,1,1
25,68,245,-59.8211,0,255,0,0,100,1,1
26,94,85,-14.1543,0,255,0,0,100,1,1
27,526,399,-118.931,0,255,0,0,100,1,1
28,445,88,48.2859,0,255,0,0,100,1,1
29,474,267,40.668,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,468,554,1
1,525,412,0
2,339,553,1
3,282,301,1
4,364,409,1
5,336,170,1
6,362,548,1
7,445,134,1
8,530,81,1
9,506,171,1
10,35,128,1
11,459,577,1
12,344,575,0
13,182,449,1
14,471,312,1
15,532,330,1
16,285,119,0
17,56,303,1
18,260,500,1
19,570,301,1
20,207,442,0
21,72,458,1
22,114,559,1
23,103,205,1
24,380,180,0
25,122,447,1
26,320,77,0
27,76,68,0
28,112,150,1
29,298,86,0
30,207,479,1
31,199,226,1
32,507,524,1
33,130,487,1
34,414,543,1
35,191,127,1
36,329,125,0
37,579,278,1
38,257,389,0
39,437,192,1
40,558,111,1
41,423,469,1
42,137,390,1
43,265,105,1
44,333,383,1
45,94,369,1
46,202,340,1
47,249,164,1
48,393,240,1
49,245,129,1
50,39,494,0
51,226,424,1
52,301,300,1
53,238,301,1
54,406,179,1
55,222,185,1
56,95,49,1
57,453,420,1
58,337,448,1
59,568,409,0
### ### ###
#
# Landmarks
#
# id, x, y
#
#
