### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,569,385,30.5729,0,255,0,0,100,1,1
1,102,521,-68.6746,0,255,0,0,100,1,1
2,442,536,55.5318,0,255,0,0,100,1,1
3,115,415,-43.3748,0,255,0,0,100,1,1
4,177,555,169.15,0,255,0,0,100,1,1
5,322,67,43.6555,0,255,0,0,100,1,1
6,432,160,-77.1349,0,255,0,0,100,1,1
7,164,235,-52.3984,0,255,0,0,100,1,1
8,360,167,155.772,0,255,0,0,100,1,1
9,222,68,19.033,0,255,0,0,100,1,1
10,48,205,-129.3,0,255,0,0,100,1,1
11,64,165,-101.622,0,255,0,0,100,1,1
12,90,286,-19.8555,0,255,0,0,100,1,1
13,245,162,22.2189,0,255,0,0,100,1,1
14,235,383,75.2128,0,255,0,0,100,1,1
15,65,470,-127.079,0,255,0,0,100,1,1
16,318,416,28.3939,0,255,0,0,100,1,1
17,195,253,-117.119,0,255,0,0,100,1,1
18,237,12,-26.0402,0,255,0,0,100,1,1
19,449,293,160.824,0,255,0,0,100,1,1
20,511,447,6.74495,0,255,0,0,100,1,1
21,181,50,-26.547,0,255,0,0,100,1,1
22,264,280,40.5494,0,255,0,0,100,1,1
23,239,317,-4.32236,0,255,0,0,100,1,1
24,502,582,133.18,0,255,0,0,100,1,1
25,473,31,-83.6827,0,255,0,0,100,1,1
26,547,501,-170.86,0,255,0,0,100,1,1
27,294,258,158.781,0,255,0,0,100,1,1
28,339,551,59.4526,0,255,0,0,100,1,1
29,88,299,84.9385,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,486,192,1
1,530,49,1
2,171,416,1
3,82,283,0
4,176,362,1
5,268,408,1
6,57,542,1
7,365,387,1
8,514,331,1
9,417,366,1
10,193,246,0
11,541,188,1
12,261,464,1
13,78,98,1
14,413,47,1
15,229,557,1
16,475,429,1
17,168,229,0
18,543,383,1
19,178,109,1
20,366,529,1
21,117,569,1
22,444,146,0
23,581,432,1
24,33,33,1
25,420,72,1
26,108,315,0
27,33,489,1
28,315,372,1
29,163,135,1
30,217,318,0
31,390,54,1
32,266,28,1
33,21,50,1
34,142,162,1
35,335,138,1
36,216,24,0
37,36,186,0
38,420,531,0
39,290,52,1
40,547,305,1
41,480,216,1
42,566,77,1
43,570,469,1
44,154,529,1
45,517,442,0
46,483,367,1
47,375,481,1
48,414,429,1
49,557,556,1
50,265,194,1
51,180,29,1
52,434,322,1
53,237,248,1
54,504,67,1
55,150,571,1
56,341,352,1
57,263,387,1
58,369,445,1
59,60,256,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
