### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,506,294,45.1795,0,255,0,0,100,1,1
1,584,365,27.1895,0,255,0,0,100,1,1
2,528,49,88.8,0,255,0,0,100,1,1
3,420,473,32.9509,0,255,0,0,100,1,1
4,533,273,-31.7257,0,255,0,0,100,1,1
5,47,398,58.5308,0,255,0,0,100,1,1
6,248,237,33.222,0,255,0,0,100,1,1
7,465,115,-121.591,0,255,0,0,100,1,1
8,392,493,-15.7416,0,255,0,0,100,1,1
9,236,355,-154.153,0,255,0,0,100,1,1
10,33,178,-157.483,0,255,0,0,100,1,1
11,105,360,136.949,0,255,0,0,100,1,1
12,270,370,51.0195,0,255,0,0,100,1,1
13,547,432,-41.0367,0,255,0,0,100,1,1
14,133,443,158.032,0,255,0,0,100,1,1
15,162,176,-68.0712,0,255,0,0,100,1,1
16,174,232,3.30049,0,255,0,0,100,1,1
17,93,281,-116.78,0,255,0,0,100,1,1
18,369,85,-142.968,0,255,0,0,100,1,1
19,46,282,21.7399,0,255,0,0,100,1,1
20,65,469,96.0115,0,255,0,0,100,1,1
21,475,259,-82.5769,0,255,0,0,100,1,1
22,316,132,76.4279,0,255,0,0,100,1,1
23,191,154,147.219,0,255,0,0,100,1,1
24,573,355,-122.305,0,255,0,0,100,1,1
25,180,306,84.3588,0,255,0,0,100,1,1
26,13,523,-73.9854,0,255,0,0,100,1,1
27,414,156,-177.758,0,255,0,0,100,1,1
28,70,201,-40.8853,0,255,0,0,100,1,1
29,354,489,139.113,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,344,433,1
1,209,286,1
2,300,292,1
3,472,431,1
4,407,425,1
5,61,530,1
6,167,193,0
7,487,162,1
8,202,313,1
9,108,109,1
10,273,331,1
11,280,233,0
12,186,170,0
13,201,521,1
14,371,142,1
15,317,347,1
16,63,429,1
17,270,490,1
18,197,244,1
19,433,80,1
20,74,90,1
21,298,256,1
22,251,548,1
23,536,569,1
24,440,436,1
25,301,318,1
26,152,346,1
27,272,446,1
28,417,404,1
29,578,451,1
30,99,35,1
31,278,95,1
32,210,142,0
33,154,507,1
34,177,518,1
35,106,287,0
36,560,365,0
37,578,147,1
38,83,487,0
39,127,156,1
40,282,56,1
41,427,577,1
42,124,381,0
43,436,333,1
44,256,344,1
45,244,419,1
46,165,365,1
47,128,351,0
48,430,142,0
49,419,294,1
50,314,454,1
51,224,167,1
52,369,166,1
53,110,255,1
54,377,488,0
55,316,210,1
56,296,553,1
57,423,377,1
58,299,358,1
59,512,576,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
