### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,297,43,146.244,0,255,0,0,100,1,1
1,257,130,-80.9597,0,255,0,0,100,1,1
2,244,443,-8.93113,0,255,0,0,100,1,1
3,309,320,49.806,0,255,0,0,100,1,1
4,194,231,-64.6904,0,255,0,0,100,1,1
5,375,562,56.2009,0,255,0,0,100,1,1
6,229,472,-175.37,0,255,0,0,100,1,1
7,194,40,-89.3838,0,255,0,0,100,1,1
8,116,300,-172.995,0,255,0,0,100,1,1
9,375,30,142.123,0,255,0,0,100,1,1
10,517,107,-47.5093,0,255,0,0,100,1,1
11,510,318,-29.6955,0,255,0,0,100,1,1
12,445,481,69.2608,0,255,0,0,100,1,1
13,130,133,-173.902,0,255,0,0,100,1,1
14,55,273,54.0407,0,255,0,0,100,1,1
15,482,476,135.569,0,255,0,0,100,1,1
16,25,310,-121.575,0,255,0,0,100,1,1
17,415,226,-6.63657,0,255,0,0,100,1,1
18,158,112,112.344,0,255,0,0,100,1,1
19,314,553,105.05,0,255,0,0,100,1,1
20,330,386,-28.9814,0,255,0,0,100,1,1
21,501,501,-177.675,0,255,0,0,100,1,1
22,146,409,112.459,0,255,0,0,100,1,1
23,116,150,71.1809,0,255,0,0,100,1,1
24,83,299,-65.8838,0,255,0,0,100,1,1
25,518,64,-162.797,0,255,0,0,100,1,1
26,189,283,115.106,0,255,0,0,100,1,1
27,267,205,-135.936,0,255,0,0,100,1,1
28,563,454,153.388,0,255,0,0,100,1,1
29,137,308,-62.4101,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,250,112,0
1,274,84,1
2,181,77,1
3,214,447,1
4,342,223,1
5,203,414,1
6,450,421,1
7,186,489,1
8,257,69,1
9,83,166,1
10,361,504,1
11,163,337,1
12,253,478,0
13,433,137,1
14,58,340,1
15,366,77,1
16,243,200,1
17,377,371,1
18,456,199,1
19,358,250,1
20,566,87,1
21,104,433,1
22,221,195,1
23,556,428,0
24,561,265,1
25,293,180,1
26,484,199,1
27,239,265,1
28,329,120,1
29,573,113,1
30,155,213,1
31,522,539,1
32,305,249,1
33,78,264,0
34,482,112,1
35,124,209,1
36,505,355,1
37,423,266,1
38,114,83,1
39,180,361,1
40,412,564,1
41,203,547,1
42,537,69,0
43,252,149,0
44,64,280,0
45,390,528,1
46,481,525,0
47,527,117,0
48,129,431,1
49,78,508,1
50,146,419,0
51,155,439,1
52,171,226,0
53,581,315,1
54,173,543,1
55,438,531,1
56,408,517,1
57,38,556,1
58,200,365,1
59,110,177,0
### ### ###
#
# Landmarks
#
# id, x, y
#
#
