### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,48,195,-47.7329,0,255,0,0,100,1,1
1,304,378,-113.465,0,255,0,0,100,1,1
2,410,481,9.20423,0,255,0,0,100,1,1
3,110,136,-11.8844,0,255,0,0,100,1,1
4,333,306,-11.6523,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,159,43,1
1,473,469,1
2,436,352,1
3,506,386,1
4,352,201,1
5,221,394,1
6,469,264,1
7,201,559,1
8,55,136,1
9,272,407,1
10,166,519,1
11,192,266,1
12,326,241,1
13,192,213,1
14,101,234,1
15,416,459,1
16,372,524,1
17,390,541,1
18,187,160,1
19,309,177,1
20,385,226,1
21,126,259,1
22,38,381,1
23,507,432,1
24,297,229,1
25,333,356,1
26,64,337,1
27,569,577,1
28,462,527,1
29,293,158,1
30,378,253,1
31,140,326,1
32,105,47,1
33,393,177,1
34,170,459,1
35,492,239,1
36,260,146,1
37,475,229,1
38,495,262,1
39,150,229,1
40,305,436,1
41,193,133,1
42,571,238,1
43,97,96,1
44,318,320,1
45,141,73,1
46,451,222,1
47,96,208,1
48,484,378,1
49,327,201,1
50,555,313,1
51,408,427,1
52,212,90,1
53,98,423,1
54,216,540,1
55,342,468,1
56,223,491,1
57,96,282,1
58,478,62,1
59,325,85,1
60,320,557,1
61,291,98,1
62,299,257,1
63,550,492,1
64,153,299,1
65,417,138,1
66,61,419,1
67,247,278,1
68,503,117,1
69,231,37,1
70,407,367,1
71,171,352,1
72,233,374,1
73,382,119,1
74,375,565,1
75,515,22,1
76,520,496,1
77,102,332,1
78,513,469,1
79,53,319,1
80,482,397,1
81,307,48,1
82,574,545,1
83,242,326,1
84,55,248,1
85,79,468,1
86,504,76,1
87,176,557,1
88,34,425,1
89,273,118,1
90,297,336,1
91,406,80,1
92,95,543,1
93,188,310,1
94,528,96,1
95,243,446,1
96,335,118,1
97,58,537,1
98,348,381,1
99,237,411,1
100,579,316,1
101,208,59,1
102,277,461,1
103,450,397,1
104,478,21,1
105,540,42,1
106,85,181,1
107,303,574,1
108,115,315,1
109,107,151,1
110,405,269,1
111,27,41,1
112,336,49,1
113,155,413,1
114,259,21,1
115,362,302,1
116,452,291,1
117,128,300,1
118,57,155,1
119,370,81,1
120,38,502,1
121,27,250,1
122,503,575,1
123,543,153,1
124,47,172,1
125,554,420,1
126,372,38,1
127,462,486,1
128,431,185,1
129,36,291,1
130,19,505,1
131,137,199,1
132,375,140,1
133,432,74,1
134,552,536,1
135,302,138,1
136,332,290,1
137,298,365,1
138,541,339,1
139,444,540,1
140,162,200,1
141,59,211,1
142,511,334,1
143,531,435,1
144,436,439,1
145,222,261,1
146,297,413,1
147,189,461,1
148,158,120,1
149,273,502,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
